element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Al,2,"=""209.4790""","=""209.4789""","=""300""","=""1.64e+08""",C+,"=""95550.51""","=""143272.86""","=""3s.3d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""3""",5,7,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""""","=""209.5049""","=""""","=""8.10e+05""",E,"=""95549.42""","=""143265.83""","=""3s.3d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""2""",7,5,,"=""T6298c4,LS""","=""""",
Al,2,"=""209.5100""","=""209.5097""","=""100""","=""2.87e+07""",D,"=""95550.51""","=""143265.83""","=""3s.3d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""2""",5,5,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""209.5140""","=""209.5138""","=""200""","=""1.55e+08""",C+,"=""95551.44""","=""143265.83""","=""3s.3d""","=""3D""","=""1""","=""3s.7f""","=""3F*""","=""2""",3,5,,"=""T6298c4,LS""","=""L4575""",
Al,1,"=""211.8312""","=""211.83160""","=""g,a""","=""1.03e+07""",C,"=""0.000""","=""47192.38""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.10d""","=""2D""","=""3/2""",2,4,,"=""T6527c4,LS""","=""L99""",
Al,1,"=""""","=""212.33586""","=""""","=""2.0e+06""",D,"=""112.061""","=""47192.38""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.10d""","=""2D""","=""3/2""",4,4,,"=""T6527c4,LS""","=""""",
Al,1,"=""212.3362""","=""212.33586""","=""1g""","=""1.22e+07""",C,"=""112.061""","=""47192.38""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.10d""","=""2D""","=""5/2""",4,6,,"=""T6527c4,LS""","=""L4737""",
Al,1,"=""212.9663""","=""212.96627""","=""1g""","=""1.52e+07""",C,"=""0.000""","=""46940.97""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.9d""","=""2D""","=""3/2""",2,4,,"=""T6527c4,LS""","=""L4737""",
Al,1,"=""213.4733""","=""213.47331""","=""2g""","=""1.81e+07""",C,"=""112.061""","=""46941.55""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.9d""","=""2D""","=""5/2""",4,6,,"=""T6527c4,LS""","=""L4737""",
Al,1,"=""""","=""213.47596""","=""""","=""3.0e+06""",D,"=""112.061""","=""46940.97""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.9d""","=""2D""","=""3/2""",4,4,,"=""T6527c4,LS""","=""""",
Al,1,"=""214.5555""","=""214.55548""","=""3g""","=""2.06e+07""",C,"=""0.000""","=""46593.32""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.8d""","=""2D""","=""3/2""",2,4,,"=""u36,LS""","=""L4737""",
Al,1,"=""215.0699""","=""215.06989""","=""5g""","=""2.46e+07""",C,"=""112.061""","=""46593.95""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.8d""","=""2D""","=""5/2""",4,6,,"=""u36,LS""","=""L4737""",
Al,1,"=""""","=""215.07280""","=""""","=""4.09e+06""",E,"=""112.061""","=""46593.32""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.8d""","=""2D""","=""3/2""",4,4,,"=""u36,LS""","=""""",
Al,3,"=""""","=""216.7356""","=""*""","=""5.14e+04""",C+,"=""167612.75""","=""213737.44""","=""2p6.4f""","=""2F*""","=""5/2""","=""2p6.8d""","=""2D""","=""5/2""",6,6,,"=""c32""","=""""",
Al,3,"=""""","=""216.7356""","=""*""","=""1.08e+06""",B+,"=""167612.75""","=""213737.44""","=""2p6.4f""","=""2F*""","=""5/2""","=""2p6.8d""","=""2D""","=""3/2""",6,4,,"=""c32""","=""""",
Al,3,"=""""","=""216.7385""","=""""","=""1.03e+06""",B+,"=""167613.37""","=""213737.44""","=""2p6.4f""","=""2F*""","=""7/2""","=""2p6.8d""","=""2D""","=""5/2""",8,6,,"=""c32""","=""""",
Al,1,"=""216.8805""","=""216.88265""","=""1g""","=""2.96e+07""",C,"=""0.000""","=""46093.424""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.7d""","=""2D""","=""3/2""",2,4,,"=""u36,LS""","=""L3514""",
Al,1,"=""217.4028""","=""217.40707""","=""1g""","=""3.53e+07""",C,"=""112.061""","=""46094.312""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.7d""","=""2D""","=""5/2""",4,6,,"=""u36,LS""","=""L3514""",
Al,1,"=""""","=""217.41127""","=""""","=""5.88e+06""",E,"=""112.061""","=""46093.424""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.7d""","=""2D""","=""3/2""",4,4,,"=""u36,LS""","=""""",
Al,2,"=""219.2604""","=""219.2604""","=""500""","=""2.47e+08""",C+,"=""95549.42""","=""141143.05""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3F*""","=""4""",7,9,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""219.4189""","=""219.4191""","=""20""","=""2.74e+07""",C,"=""95549.42""","=""141110.06""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3F*""","=""3""",7,7,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""219.4245""","=""219.4244""","=""70""","=""2.19e+08""",C+,"=""95550.51""","=""141110.06""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3F*""","=""3""",5,7,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""""","=""219.5404""","=""""","=""1.08e+06""",E,"=""95549.42""","=""141084.89""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3F*""","=""2""",7,5,,"=""T6298c4,LS""","=""""",
