element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mo,1,"=""323.3141""","=""""","=""323.31407+""","=""1100""","=""6.3e+07""",B+,"=""16783.856""","=""47704.609""","=""4d5.(4G).5s""","=""a 5G""","=""6""","=""4d4.5s.(4F).5p""","=""y 5G*""","=""6""",13,13,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""323.7060""","=""""","=""323.70611+""","=""950""","=""2.95e+07""",B,"=""11858.498""","=""42741.804""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4D).5p""","=""w 5D*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""324.4471""","=""""","=""324.44708+""","=""50""","=""2.80e+07""",B,"=""18356.491""","=""49169.268""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""""","=""27*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""324.7614""","=""""","=""324.76144+""","=""344""","=""1.71e+07""",B,"=""11454.362""","=""42237.314""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4D).5p""","=""w 5D*""","=""2""",5,5,,"=""T5293""","=""L10250""",
Mo,1,"=""324.9925""","=""""","=""324.99255+""","=""65""","=""1.87e+07""",B,"=""16641.081""","=""47402.144""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""""","=""17*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""325.1647""","=""""","=""325.16471+""","=""84""","=""3.05e+07""",B,"=""20930.425""","=""51675.202""","=""4d5.(4D).5s""","=""a 3D""","=""1""","=""""","=""44*""","=""2""",3,5,,"=""T5293""","=""L10250""",
Mo,1,"=""325.6207""","=""""","=""325.62077+""","=""950""","=""6.9e+07""",B,"=""11454.362""","=""42156.079""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4D).5p""","=""w 5D*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""325.6718""","=""""","=""325.67184+""","=""16""","=""1.31e+07""",C+,"=""22244.375""","=""52941.278""","=""4d4.5s2""","=""a 3P""","=""1""","=""""","=""65*""","=""1""",3,3,,"=""T5293""","=""L10250""",
Mo,1,"=""325.9156""","=""""","=""325.91571+""","=""110""","=""1.62e+07""",B+,"=""24465.771""","=""55139.706""","=""4d4.5s2""","=""a 3H""","=""5""","=""""","=""97*""","=""6""",11,13,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""326.2626""","=""""","=""326.26264+""","=""300""","=""3.6e+07""",B,"=""18229.152""","=""48870.471""","=""4d5.(4P).5s""","=""a 5P""","=""3""","=""4d4.5s.(4D).5p""","=""v 5D*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
