element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,1,"=""946.068""","=""946.0676""","=""250""","=""3.73e+06""",B,"=""86220.510""","=""96787.680""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",4,4,,"=""T7370""","=""L3513""",
N,1,"=""""","=""946.4169""","=""""","=""3.50e+05""",C,"=""93581.550""","=""104144.820""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",2,2,,"=""T7370""","=""""",
N,1,"=""""","=""949.3774""","=""""","=""4.06e+02""",C+,"=""86220.510""","=""96750.840""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",4,4,,"=""T7370""","=""""",
N,1,"=""""","=""953.049""","=""""","=""1.31e+04""",C+,"=""110710.739""","=""121200.5""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s.2p4""","=""2D""","=""5/2""",6,6,,"=""T5714""","=""""",
N,1,"=""""","=""953.450""","=""""","=""2.89e+05""",C+,"=""110715.152""","=""121200.5""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s.2p4""","=""2D""","=""5/2""",8,6,,"=""T5714""","=""""",
N,3,"=""""","=""963.164""","=""""","=""2.00e+07""",B,"=""374746.4""","=""385126""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,1,"=""""","=""965.8981""","=""""","=""8.7e+03""",C,"=""94793.490""","=""105143.710""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",4,6,,"=""T7370""","=""""",
N,1,"=""""","=""966.0120""","=""""","=""2.49e+04""",C,"=""94770.880""","=""105119.880""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",2,4,,"=""T7370""","=""""",
N,1,"=""""","=""968.1271""","=""""","=""8.1e+04""",C,"=""94793.490""","=""105119.880""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",4,4,,"=""T7370""","=""""",
N,3,"=""""","=""968.614""","=""""","=""2.36e+07""",B,"=""374804.8""","=""385126""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""968.614""","=""""","=""3.93e+06""",B,"=""374804.8""","=""385126""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,2,"=""""","=""968.898""","=""""","=""5.12e+04""",D,"=""196592.07""","=""206910.24""","=""2s2.2p.4s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""1S""","=""0""",3,1,,"=""T6385""","=""""",
N,1,"=""""","=""969.4010""","=""""","=""6.3e+04""",C,"=""94830.890""","=""105143.710""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",6,6,,"=""T7370""","=""""",
N,1,"=""""","=""970.8451""","=""""","=""3.18e+03""",B+,"=""83284.070""","=""93581.550""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",2,2,,"=""T7370""","=""""",
N,1,"=""""","=""971.6462""","=""""","=""1.34e+04""",C,"=""94830.890""","=""105119.880""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",6,4,,"=""T7370""","=""""",
N,1,"=""""","=""974.0385""","=""""","=""9.03e+03""",B+,"=""83317.830""","=""93581.550""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",4,2,,"=""T7370""","=""""",
N,1,"=""""","=""974.2122""","=""""","=""4.91e+01""",C,"=""94881.820""","=""105143.710""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",8,6,,"=""T7370""","=""""",
N,1,"=""""","=""977.690""","=""""","=""1.40e+06""",B,"=""94770.880""","=""104996.27""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",2,4,,"=""T7370""","=""""",
N,1,"=""""","=""978.678""","=""""","=""1.18e+06""",B,"=""94793.490""","=""105008.55""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",4,6,,"=""T7370""","=""""",
N,1,"=""""","=""978.829""","=""""","=""3.83e+06""",B,"=""94770.880""","=""104984.37""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",2,2,,"=""T7370""","=""""",
N,1,"=""""","=""979.856""","=""""","=""3.33e+06""",B,"=""94793.490""","=""104996.27""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",4,4,,"=""T7370""","=""""",
N,1,"=""""","=""981.001""","=""""","=""5.42e+06""",B,"=""94793.490""","=""104984.37""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",4,2,,"=""T7370""","=""""",
N,1,"=""""","=""981.4021""","=""""","=""7.00e+05""",B,"=""94830.890""","=""105017.600""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",6,8,,"=""T7370""","=""""",
N,1,"=""""","=""982.275""","=""""","=""5.74e+06""",B,"=""94830.890""","=""105008.55""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",6,6,,"=""T7370""","=""""",
