element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,3,"=""""","=""180.080""","=""""","=""7.06e+07""",C+,"=""332826.0""","=""388356.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.164""","=""""","=""4.70e+07""",C+,"=""332804.4""","=""388309.3""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.234""","=""""","=""1.15e+08""",C+,"=""332826.0""","=""388309.3""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.325""","=""""","=""3.82e+07""",C+,"=""332854.0""","=""388309.3""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.353""","=""""","=""2.86e+07""",C+,"=""332826.0""","=""388272.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.444""","=""""","=""1.72e+08""",C+,"=""332854.0""","=""388272.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4D""","=""7/2""",8,8,,"=""T7192LS""","=""""",
N,3,"=""180.4486""","=""180.449""","=""150""","=""2.49e+08""",B,"=""245665.4""","=""301082.6""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.4s""","=""2S""","=""1/2""",2,2,,"=""T7192LS""","=""L3513""",
N,2,"=""""","=""180.524""","=""""","=""2.48e+04""",C,"=""109216.6""","=""164610.76""","=""2s.2p3""","=""3P*""","=""1""","=""2s2.2p.3p""","=""1P""","=""1""",3,3,,"=""T7333""","=""""",
N,2,"=""""","=""180.528""","=""""","=""3.05e+03""",C,"=""109217.6""","=""164610.76""","=""2s.2p3""","=""3P*""","=""2""","=""2s2.2p.3p""","=""1P""","=""1""",5,3,,"=""T7333""","=""""",
N,2,"=""""","=""180.547""","=""""","=""4.06e+03""",C,"=""109223.5""","=""164610.76""","=""2s.2p3""","=""3P*""","=""0""","=""2s2.2p.3p""","=""1P""","=""1""",1,3,,"=""T7333""","=""""",
N,3,"=""180.5669""","=""180.566""","=""200""","=""4.96e+08""",B,"=""245701.3""","=""301082.6""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.4s""","=""2S""","=""1/2""",4,2,,"=""T7192LS""","=""L3513""",
N,3,"=""""","=""180.996""","=""""","=""2.13e+07""",B,"=""311690.3""","=""366940""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.8d""","=""2D""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.078""","=""""","=""2.55e+07""",B,"=""311715.2""","=""366940""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.8d""","=""2D""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.078""","=""""","=""4.25e+06""",B,"=""311715.2""","=""366940""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.8d""","=""2D""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.632""","=""""","=""1.73e+06""",B,"=""379300.1""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.632""","=""""","=""4.32e+06""",B,"=""379300.1""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.779""","=""""","=""1.38e+06""",B,"=""379344.8""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.779""","=""""","=""8.62e+06""",B,"=""379344.8""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.779""","=""""","=""3.10e+06""",B,"=""379344.8""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.815""","=""""","=""8.76e+06""",B,"=""379300.1""","=""434301.2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).8d""","=""4D*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.815""","=""""","=""1.75e+07""",B,"=""379300.1""","=""434301.2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).8d""","=""4D*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.954""","=""""","=""7.22e+06""",B,"=""379397.6""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.954""","=""""","=""4.64e+06""",B,"=""379397.6""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.962""","=""""","=""1.47e+07""",B,"=""379344.8""","=""434301.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4D*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.962""","=""""","=""1.12e+07""",B,"=""379344.8""","=""434301.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4D*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.962""","=""""","=""3.49e+06""",B,"=""379344.8""","=""434301.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4D*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""182.137""","=""""","=""2.09e+07""",B,"=""379397.6""","=""434301.2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).8d""","=""4D*""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""182.137""","=""""","=""6.27e+06""",B,"=""379397.6""","=""434301.2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).8d""","=""4D*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""182.137""","=""""","=""1.05e+06""",B,"=""379397.6""","=""434301.2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).8d""","=""4D*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,2,"=""""","=""183.0527""","=""""","=""1.31e+06""",C,"=""148908.59""","=""203537.66""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3S""","=""1""",1,3,,"=""T6385n""","=""""",
N,2,"=""""","=""183.1586""","=""""","=""4.24e+06""",C,"=""148940.17""","=""203537.66""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3S""","=""1""",3,3,,"=""T6385n""","=""""",
N,3,"=""""","=""183.557""","=""""","=""3.55e+07""",B,"=""314217.3""","=""368696.3""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,2,"=""""","=""183.6172""","=""""","=""1.08e+07""",C,"=""149076.52""","=""203537.66""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3S""","=""1""",5,3,,"=""T6385n""","=""""",
N,3,"=""""","=""183.955""","=""""","=""3.52e+07""",B,"=""314217.3""","=""368578.3""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,2,"=""""","=""183.9931""","=""""","=""3.97e+05""",D,"=""149187.80""","=""203537.66""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.4p""","=""3S""","=""1""",3,3,,"=""T6385""","=""""",
N,2,"=""""","=""184.0983""","=""""","=""1.09e+06""",D,"=""148940.17""","=""203258.98""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""2""",3,5,,"=""T6385n""","=""""",
N,3,"=""""","=""184.172""","=""""","=""3.51e+07""",B,"=""314217.3""","=""368514.4""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,2,"=""""","=""184.2284""","=""""","=""2.90e+06""",D,"=""148908.59""","=""203189.03""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3P""","=""1""",1,3,,"=""T6385n""","=""""",
N,2,"=""""","=""184.3357""","=""""","=""4.28e+06""",D,"=""148940.17""","=""203189.03""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""1""",3,3,,"=""T6385n""","=""""",
N,2,"=""""","=""184.4259""","=""""","=""7.98e+06""",D,"=""148940.17""","=""203162.48""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""0""",3,1,,"=""T6385n""","=""""",
N,2,"=""""","=""184.5616""","=""""","=""7.56e+06""",D,"=""149076.52""","=""203258.98""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3P""","=""2""",5,5,,"=""T6385n""","=""""",
N,3,"=""""","=""184.569""","=""""","=""7.73e+08""",C+,"=""332791.3""","=""386971.6""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""2s.2p.(3P*).4f""","=""4F""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""184.575""","=""""","=""8.28e+08""",C+,"=""332804.4""","=""386982.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4F""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""184.587""","=""""","=""9.47e+08""",C+,"=""332826.0""","=""387000.9""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4F""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""184.614""","=""""","=""3.09e+08""",C+,"=""332804.4""","=""386971.6""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4F""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""184.642""","=""184.641""","=""150""","=""1.10e+09""",C+,"=""332854.0""","=""387013.1""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4F""","=""9/2""",8,10,,"=""T7192LS""","=""L3513""",
N,3,"=""""","=""184.649""","=""""","=""2.68e+08""",C+,"=""332826.0""","=""386982.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4F""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""184.683""","=""""","=""1.57e+08""",C+,"=""332854.0""","=""387000.9""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4F""","=""7/2""",8,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""184.687""","=""""","=""2.20e+07""",C+,"=""332826.0""","=""386971.6""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4F""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""184.745""","=""""","=""1.06e+07""",C+,"=""332854.0""","=""386982.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4F""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,2,"=""""","=""184.8002""","=""""","=""1.55e+06""",D,"=""149076.52""","=""203189.03""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3P""","=""1""",5,3,,"=""T6385n""","=""""",
N,2,"=""""","=""185.1810""","=""""","=""3.81e+05""",D,"=""149187.80""","=""203189.03""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""1""",3,3,,"=""T6385""","=""""",
N,2,"=""""","=""185.2721""","=""""","=""4.34e+05""",D,"=""149187.80""","=""203162.48""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""0""",3,1,,"=""T6385""","=""""",
N,2,"=""""","=""185.7870""","=""""","=""1.76e+07""",C+,"=""148940.17""","=""202765.26""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""2""",3,5,,"=""T6385n""","=""""",
N,2,"=""""","=""185.8545""","=""""","=""1.39e+07""",C+,"=""148908.59""","=""202714.12""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3D""","=""1""",1,3,,"=""T6385n""","=""""",
N,2,"=""""","=""185.9260""","=""""","=""2.38e+07""",C+,"=""149076.52""","=""202861.36""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3D""","=""3""",5,7,,"=""T6385n""","=""""",
N,2,"=""""","=""185.9636""","=""""","=""8.11e+06""",C+,"=""148940.17""","=""202714.12""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""1""",3,3,,"=""T6385n""","=""""",
N,2,"=""""","=""186.2588""","=""""","=""5.13e+06""",C+,"=""149076.52""","=""202765.26""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3D""","=""2""",5,5,,"=""T6385n""","=""""",
N,2,"=""""","=""186.4364""","=""""","=""5.45e+05""",C+,"=""149076.52""","=""202714.12""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3D""","=""1""",5,3,,"=""T6385n""","=""""",
N,2,"=""""","=""186.6457""","=""""","=""8.64e+05""",D,"=""149187.80""","=""202765.26""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""2""",3,5,,"=""T6385""","=""""",
N,2,"=""""","=""186.8240""","=""""","=""1.14e+06""",D,"=""149187.80""","=""202714.12""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""1""",3,3,,"=""T6385""","=""""",
N,3,"=""""","=""187.604""","=""""","=""1.10e+07""",B,"=""311690.3""","=""364994.2""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.8s""","=""2S""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""187.691""","=""""","=""2.20e+07""",B,"=""311715.2""","=""364994.2""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.8s""","=""2S""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,2,"=""""","=""187.7510""","=""""","=""4.77e+04""",D,"=""148908.59""","=""202170.63""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.4p""","=""1P""","=""1""",1,3,,"=""T6385""","=""""",
N,2,"=""""","=""187.8624""","=""""","=""2.37e+06""",D,"=""148940.17""","=""202170.63""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""1P""","=""1""",3,3,,"=""T6385""","=""""",
N,3,"=""188.506""","=""188.506""","=""350""","=""1.10e+09""",C+,"=""267238.4""","=""320287.2""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.4f""","=""2F*""","=""5/2""",4,6,,"=""T7192LS""","=""L3513""",
N,3,"=""188.522""","=""188.522""","=""400""","=""1.17e+09""",C+,"=""267244.0""","=""320288.3""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.4f""","=""2F*""","=""7/2""",6,8,,"=""T7192LS""","=""L3513""",
N,3,"=""""","=""188.526""","=""""","=""7.83e+07""",C+,"=""267244.0""","=""320287.2""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.4f""","=""2F*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,2,"=""""","=""188.7404""","=""""","=""3.63e+07""",D,"=""149187.80""","=""202170.63""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.4p""","=""1P""","=""1""",3,3,,"=""T5520,T6385""","=""""",
N,3,"=""""","=""189.624""","=""""","=""1.96e+05""",C,"=""376750.4""","=""429486.3""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""2s.2p.(3P*).7d""","=""4P*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""189.624""","=""""","=""1.96e+04""",D,"=""376750.4""","=""429486.3""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""2s.2p.(3P*).7d""","=""4P*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""189.787""","=""""","=""1.95e+05""",C,"=""376795.7""","=""429486.3""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).7d""","=""4P*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""189.787""","=""""","=""1.25e+05""",C,"=""376795.7""","=""429486.3""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).7d""","=""4P*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""189.787""","=""""","=""7.80e+03""",D,"=""376795.7""","=""429486.3""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).7d""","=""4P*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""189.848""","=""""","=""2.35e+06""",B,"=""297151.2""","=""349824.8""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""2s2.6s""","=""2S""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""189.888""","=""""","=""4.23e+06""",B,"=""376750.4""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""189.888""","=""""","=""2.12e+06""",B,"=""376750.4""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.008""","=""""","=""2.45e+05""",C+,"=""376856.8""","=""429486.3""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2s.2p.(3P*).7d""","=""4P*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.008""","=""""","=""7.00e+04""",C,"=""376856.8""","=""429486.3""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2s.2p.(3P*).7d""","=""4P*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.052""","=""""","=""3.38e+06""",B,"=""376795.7""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.052""","=""""","=""4.22e+06""",B,"=""376795.7""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.052""","=""""","=""1.97e+06""",B,"=""376795.7""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.257""","=""""","=""4.68e+06""",B,"=""297264.4""","=""349824.8""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""2s2.6s""","=""2S""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.273""","=""""","=""4.83e+06""",B,"=""376856.8""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.273""","=""""","=""2.95e+06""",B,"=""376856.8""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.273""","=""""","=""1.20e+06""",B,"=""376856.8""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.327""","=""""","=""3.10e+05""",C+,"=""376945.2""","=""429486.3""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2s.2p.(3P*).7d""","=""4P*""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,2,"=""""","=""190.4892""","=""""","=""2.91e+06""",C,"=""170572.61""","=""223069.02""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",1,3,,"=""T5520LS""","=""""",
N,3,"=""""","=""190.593""","=""""","=""7.18e+06""",B,"=""376945.2""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""7/2""",8,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""190.593""","=""""","=""1.59e+06""",B,"=""376945.2""","=""429412.9""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2s.2p.(3P*).7d""","=""4D*""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,2,"=""""","=""190.6173""","=""""","=""8.72e+06""",C+,"=""170607.89""","=""223069.02""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",3,3,,"=""T5520LS""","=""""",
N,3,"=""190.799""","=""190.792""","=""200""","=""9.68e+08""",C+,"=""334540.2""","=""386953.4""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).4f""","=""2F""","=""5/2""",4,6,,"=""T7192LS""","=""L3513""",
N,3,"=""""","=""190.808""","=""""","=""1.04e+09""",C+,"=""334568.3""","=""386977.0""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2F""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,2,"=""""","=""190.8295""","=""""","=""1.45e+07""",C+,"=""170666.23""","=""223069.02""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",5,3,,"=""T5520LS""","=""""",
N,3,"=""""","=""190.894""","=""""","=""6.90e+07""",C+,"=""334568.3""","=""386953.4""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2F""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""191.755""","=""""","=""4.82e+07""",C+,"=""336206.9""","=""388356.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""191.849""","=""""","=""1.60e+08""",C+,"=""336261.6""","=""388385.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4D""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""191.930""","=""""","=""2.89e+08""",C+,"=""336206.9""","=""388309.3""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""191.955""","=""191.956""","=""150""","=""5.13e+08""",C+,"=""336261.6""","=""388356.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",4,4,,"=""T7192LS""","=""L3513""",
N,3,"=""191.977""","=""191.978""","=""150""","=""8.01e+08""",C+,"=""336296.6""","=""388385.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4f""","=""4D""","=""1/2""",2,2,,"=""T7192LS""","=""L3513""",
N,3,"=""192.065""","=""192.064""","=""300""","=""9.60e+08""",C+,"=""336206.9""","=""388272.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""7/2""",6,8,,"=""T7192LS""","=""L3513""",
N,3,"=""192.084""","=""192.085""","=""150""","=""4.00e+08""",C+,"=""336296.6""","=""388356.8""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",2,4,,"=""T7192LS""","=""L3513""",
N,3,"=""192.130""","=""192.131""","=""200""","=""6.71e+08""",C+,"=""336261.6""","=""388309.3""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",4,6,,"=""T7192LS""","=""L3513""",
N,3,"=""""","=""194.704""","=""""","=""1.01e+08""",B,"=""317336.2""","=""368696.3""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""194.928""","=""""","=""2.35e+08""",B,"=""317395.2""","=""368696.3""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""194.990""","=""""","=""1.40e+08""",B,"=""317293.6""","=""368578.3""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""195.152""","=""""","=""4.46e+07""",B,"=""317336.2""","=""368578.3""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""195.233""","=""""","=""5.56e+07""",B,"=""317293.6""","=""368514.4""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""195.377""","=""""","=""1.50e+08""",B,"=""317395.2""","=""368578.3""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",6,4,,"=""T7192LS""","=""""",
