element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hf,1,"=""429.4780""","=""0.0011""","=""429.477692""","=""0.000019""","=""11000""","=""2.42e+06""",B+,"=""2356.6756""","=""25634.2234""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""2""",7,5,,"=""T5346""","=""L16323""",
Hf,1,"=""429.6450""","=""0.0011""","=""429.644798""","=""0.000024""","=""1900""","=""1.07e+06""",B,"=""5521.7776""","=""28790.2720""","=""5d2.6s2""","=""a 3P""","=""0""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""1""",1,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""431.8138""","=""0.0007""","=""431.813090""","=""0.000017""","=""3800""","=""2.23e+06""",B,"=""5638.6151""","=""28790.2720""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""433.0282""","=""0.0007""","=""433.027751""","=""0.000015""","=""5800""","=""9.57e+05""",B,"=""4567.6413""","=""27654.3580""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""3""",9,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""435.6306""","=""0.0007""","=""435.630591""","=""0.000019""","=""12000""","=""2.1e+06""",C+,"=""4567.6413""","=""27516.4201""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""4""",9,9,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""435.7000""","=""0.0007""","=""435.700253""","=""0.000015""","=""2400""","=""2.5e+05""",C+,"=""5638.6151""","=""28583.7248""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""3""",5,7,,"=""T5346""","=""L16323""",
Hf,1,"=""437.9175""","=""0.0007""","=""437.917660""","=""0.000021""","=""2000""","=""1.9e+05""",C+,"=""6572.5498""","=""29401.4784""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 3P*""","=""2""",3,5,,"=""T5346""","=""L16323""",
Hf,1,"=""441.7910""","=""0.0011""","=""441.790242""","=""0.000014""","=""6200""","=""2.10e+06""",B+,"=""5638.6151""","=""28267.4366""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""441.8247""","=""0.0007""","=""441.824712""","=""0.000016""","=""2900""","=""1.50e+06""",B,"=""8983.7652""","=""31610.8213""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3F).6s.(a 2F).6p""","=""y 1D*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""443.8038""","=""0.0007""","=""443.80364""","=""0.00003""","=""8300""","=""4.43e+06""",B+,"=""5521.7776""","=""28047.9411""","=""5d2.6s2""","=""a 3P""","=""0""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 3S*""","=""1""",1,3,,"=""T5346""","=""L16323""",
Hf,1,"=""445.2980""","=""0.0011""","=""445.298353""","=""0.000014""","=""3300""","=""1.3e+05""",D+,"=""0.0000""","=""22450.5521""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""445.7347""","=""0.0007""","=""445.734411""","=""0.000024""","=""12000""","=""5.9e+05""",D+,"=""2356.6756""","=""24785.2649""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""4""",7,9,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""446.1181""","=""0.0007""","=""446.117576""","=""0.000020""","=""8300""","=""3.90e+06""",B+,"=""5638.6151""","=""28047.9411""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 3S*""","=""1""",5,3,,"=""T5346""","=""L16323""",
Hf,1,"=""449.9662""","=""0.0007""","=""449.964922""","=""0.000022""","=""2100""","=""9.00e+05""",B,"=""6572.5498""","=""28790.2720""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""1""",3,3,,"=""T5346""","=""L16323""",
Hf,1,"=""454.0934""","=""0.0007""","=""454.093108""","=""0.000019""","=""8400""","=""2.27e+06""",B+,"=""5638.6151""","=""27654.3580""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""3""",5,7,,"=""T5346""","=""L16323""",
Hf,1,"=""454.1710""","=""0.0011""","=""454.170123""","=""0.000023""","=""1700""","=""4.97e+05""",B,"=""5521.7776""","=""27533.7873""","=""5d2.6s2""","=""a 3P""","=""0""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""1""",1,3,,"=""T5346""","=""L21976,L16323""",
