element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,2,"=""273.055""","=""273.0551""","=""0.0011""","=""1""","=""5.796e+06""",AA,"=""[561272.75]""","=""[597884.56]""","=""1s.3d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""273.0551""","=""0.0011""","=""""","=""1.934e+03""",AA,"=""[561272.75]""","=""[597884.56]""","=""1s.3d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
Li,2,"=""""","=""272.67""","=""0.04""","=""""","=""1.0508e+06""",AAA,"=""[561272.75]""","=""[597936.4]""","=""1s.3d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
Li,1,"=""274.120""","=""274.1203""","=""0.0011""","=""5*""","=""1.247e+06""",AA,"=""0.00""","=""36469.55""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",2,4,,"=""T6620LS""","=""L7397""",
Li,1,"=""274.120""","=""274.1203""","=""0.0011""","=""5*""","=""1.248e+06""",AA,"=""0.00""","=""36469.55""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",2,2,,"=""T6620LS""","=""L7397""",
Li,2,"=""""","=""274.4913""","=""0.0011""","=""""","=""3.0891e+05""",AAA,"=""[561242.28]""","=""[597662.53]""","=""1s.3d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
Li,2,"=""""","=""274.4960""","=""0.0011""","=""""","=""1.7305e+06""",AAA,"=""[561242.90]""","=""[597662.53]""","=""1s.3d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T8636c73""","=""""",
Li,2,"=""""","=""274.4964""","=""0.0011""","=""""","=""1.5446e+06""",AAA,"=""[561242.28]""","=""[597661.86]""","=""1s.3d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
Li,2,"=""""","=""274.5000""","=""0.0017""","=""""","=""2.0602e+04""",AAA,"=""[561243.43]""","=""[597662.53]""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
Li,2,"=""""","=""274.5051""","=""0.0017""","=""""","=""5.1503e+05""",AAA,"=""[561243.43]""","=""[597661.86]""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
Li,2,"=""""","=""274.5079""","=""0.0017""","=""""","=""2.0601e+06""",AAA,"=""[561243.43]""","=""[597661.48]""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
Li,2,"=""""","=""275.3483""","=""0.0014""","=""""","=""2.8420e+01""",AAA,"=""[561272.75]""","=""[597579.66]""","=""1s.3d""","=""1D""","=""2""","=""1s.6s""","=""1S""","=""0""",5,1,E2,"=""T7378""","=""""",
Li,2,"=""276.699""","=""276.6989""","=""0.0016""","=""""","=""2.9368e+07""",AAA,"=""[561751.95]""","=""[597881.65]""","=""1s.3p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""276.28""","=""0.04""","=""""","=""5.380e+01""",AA,"=""[561751.95]""","=""[597936.4]""","=""1s.3p""","=""1P*""","=""1""","=""1s.6p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
Li,2,"=""279.031""","=""279.0313""","=""0.0017""","=""""","=""1.3884e+07""",AAA,"=""[561751.95]""","=""[597579.66]""","=""1s.3p""","=""1P*""","=""1""","=""1s.6s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L3501""",
Li,3,"=""""","=""291.4987632""","=""0.0000021""","=""""","=""5.8244e+07""",AA,"=""(925932.587659)""","=""(960228.00859)""","=""4p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
