element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,2,"=""201.6589""","=""201.65822""","=""10""","=""8.57e+06""",C,"=""208392.258""","=""257965.11""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""L10549""",
O,2,"=""202.0340""","=""202.03299""","=""12""","=""1.99e+07""",C,"=""208484.202""","=""257965.11""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",6,6,,"=""T5723LS""","=""L10549""",
O,2,"=""202.1445""","=""202.14364""","=""10""","=""1.18e+07""",C,"=""208346.104""","=""257799.93""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",2,4,,"=""T5723LS""","=""L10549""",
O,2,"=""202.3332""","=""202.33250""","=""10""","=""3.77e+06""",C,"=""208392.258""","=""257799.93""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""L10549""",
O,2,"=""202.5694""","=""202.57048""","=""5""","=""4.70e+06""",C,"=""208346.104""","=""257695.74""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",2,2,,"=""T5723LS""","=""L10549""",
O,1,"=""""","=""202.643""","=""""","=""2.82e+05""",C,"=""88630.587""","=""137962.5""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""2""",3,5,,"=""T5803""","=""""",
O,1,"=""""","=""202.643""","=""""","=""1.05e+05""",D,"=""88630.587""","=""137962.5""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""1""",3,3,,"=""T5803""","=""""",
O,1,"=""""","=""202.646""","=""""","=""3.70e+05""",C,"=""88631.146""","=""137962.5""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""3""",5,7,,"=""T5803""","=""""",
O,1,"=""""","=""202.646""","=""""","=""1.92e+05""",D,"=""88631.303""","=""137962.5""","=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""1""",1,3,,"=""T5803""","=""""",
O,1,"=""""","=""202.646""","=""""","=""4.85e+04""",D,"=""88631.146""","=""137962.5""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""2""",5,5,,"=""T5803""","=""""",
