element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fe,2,"=""""","=""""","=""483.319175""","=""0.000014""","=""""","=""5.e+02""",E,"=""21430.3564""","=""42114.8380""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(5D).4p""","=""z 6F*""","=""9/2""",12,10,,"=""T6892c83""","=""""",
Fe,1,"=""483.45065""","=""0.00019""","=""483.45062""","=""0.00003""","=""158""","=""2.7e+04""",E,"=""19552.478""","=""40231.336""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""",3,5,,"=""T2578n""","=""L11631""",
Fe,1,"=""483.58676""","=""0.00007""","=""483.58672""","=""0.00003""","=""550""","=""1.1e+06""",D,"=""33095.941""","=""53768.979""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""f 5G""","=""4""",9,9,,"=""T2578n""","=""L11631""",
Fe,1,"=""483.85115""","=""0.00007""","=""483.85113""","=""0.00003""","=""710""","=""1.2e+06""",D,"=""27559.583""","=""48221.324""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d7.(4F).5s""","=""e 5F""","=""1""",5,3,,"=""T2578n""","=""L11631""",
Fe,2,"=""483.85511""","=""0.00020""","=""483.855065""","=""0.000021""","=""70""","=""7.0e+05""",D+,"=""83308.241""","=""103969.814""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""483.95442""","=""0.00007""","=""483.95443""","=""0.00003""","=""3090""","=""3.90e+05""",C+,"=""26351.040""","=""47008.371""","=""3d7.(2H).4s""","=""b 3H""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""5""",11,11,,"=""T5720""","=""L11631""",
Fe,2,"=""""","=""""","=""483.998677""","=""0.000019""","=""""","=""4.e+02""",E,"=""21581.6151""","=""42237.0575""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""",10,8,,"=""T6892c83""","=""""",
Fe,1,"=""484.03214""","=""0.00007""","=""484.03210""","=""0.00003""","=""457""","=""1.7e+06""",D,"=""33507.123""","=""54161.139""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""3""",7,7,,"=""T2578n""","=""L11631""",
Fe,1,"=""484.27881""","=""0.00019""","=""484.27875""","=""0.00003""","=""380""","=""7.5e+05""",E,"=""33095.941""","=""53739.438""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""5""",9,11,,"=""T2578n""","=""L11631""",
Fe,1,"=""484.31435""","=""0.00007""","=""484.31429""","=""0.00003""","=""1380""","=""9.2e+05""",E,"=""27394.691""","=""48036.673""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d7.(4F).5s""","=""e 5F""","=""2""",7,5,,"=""T2578n""","=""L11631""",
Fe,2,"=""484.32960""","=""0.00003""","=""484.32966""","=""0.00003""","=""1100""","=""1.2e+05""",D,"=""61093.406""","=""81734.733""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d5.4s2""","=""2F2""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""""","=""""","=""484.334752""","=""0.000024""","=""""","=""4.2e-01""",E,"=""0.000""","=""20641.110""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.4s2""","=""b 3F2""","=""4""",9,9,M1,"=""T6409""","=""""",
Fe,2,"=""""","=""""","=""484.35338""","=""0.00005""","=""""","=""1.6e-03""",E,"=""667.6829""","=""21307.999""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d7""","=""a 2D2""","=""3/2""",6,4,M1,"=""T8961""","=""""",
Fe,1,"=""484.40135""","=""0.00007""","=""484.40133""","=""0.00003""","=""760""","=""3.62e+05""",C,"=""28604.613""","=""49242.886""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d7.(2G).4p""","=""w 3F*""","=""3""",5,7,,"=""T5720""","=""L11631""",
Fe,1,"=""""","=""""","=""484.75880""","=""0.00003""","=""""","=""2.5e-02""",E,"=""415.933""","=""21038.987""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.4s2""","=""b 3F2""","=""2""",7,5,M1,"=""T6409""","=""""",
Fe,1,"=""484.88832""","=""0.00019""","=""484.88822""","=""0.00003""","=""245""","=""6.89e+04""",C,"=""18378.186""","=""38995.736""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""1""",5,3,,"=""T5720""","=""L11631""",
Fe,2,"=""""","=""""","=""485.27432""","=""0.00003""","=""""","=""2.49e-02""",C+,"=""2430.1369""","=""23031.2829""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""",8,4,E2,"=""T9588c100""","=""""",
Fe,2,"=""485.6152""","=""0.0003""","=""485.614898""","=""0.000021""","=""50""","=""9.e+05""",D+,"=""83459.721""","=""104046.419""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""485.90296""","=""0.00009""","=""485.902832""","=""0.000021""","=""110""","=""1.9e+06""",D+,"=""83308.241""","=""103882.740""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""485.91215""","=""0.00019""","=""485.91214""","=""0.00003""","=""295""","=""1.1e+06""",E,"=""33801.572""","=""54375.677""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""2""",5,5,,"=""T2578n""","=""L11631""",
Fe,1,"=""485.97411""","=""0.00007""","=""485.97414""","=""0.00003""","=""24500""","=""1.62e+07""",B+,"=""23192.500""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",5,3,,"=""T5720""","=""L11631""",
Fe,2,"=""486.06798""","=""0.00002""","=""486.067972""","=""0.000019""","=""700""","=""8.5e+06""",C+,"=""82853.704""","=""103421.213""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""13/2""",12,14,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""486.09781""","=""0.00007""","=""486.09775""","=""0.00003""","=""457""","=""1.3e+05""",E,"=""27394.691""","=""47960.940""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d7.(4F).5s""","=""e 3F""","=""4""",7,9,,"=""T2578n""","=""L11631""",
Fe,2,"=""486.61989""","=""0.00005""","=""486.619912""","=""0.000021""","=""270""","=""6.0e+06""",C+,"=""83136.508""","=""103680.689""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""486.94636""","=""0.00019""","=""486.94632""","=""0.00003""","=""245""","=""1.3e+05""",E,"=""28604.613""","=""49135.023""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""3""",5,7,,"=""T2578n""","=""L11631""",
Fe,2,"=""486.99690""","=""0.00016""","=""486.99685""","=""0.00004""","=""60""","=""1.4e+06""",D+,"=""83459.721""","=""103988.001""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c139""",
