element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fe,1,"=""245.35688""","=""0.00005""","=""245.356823""","=""0.000025""","=""42""","=""1.23e+07""",C,"=""19621.006""","=""60365.637""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d6.(3H).4s.4p.(1P*)""","=""t 3H*""","=""6""",11,13,,"=""T5720""","=""L11631""",
Fe,2,"=""245.37472""","=""0.00002""","=""245.374720""","=""0.000011""","=""14000""","=""2.2e+07""",D+,"=""42237.0575""","=""82978.717""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.379738""","=""0.000018""","=""245.379717""","=""0.000011""","=""22000""","=""1.6e+07""",D+,"=""21581.6151""","=""62322.445""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.39155""","=""0.00003""","=""245.391547""","=""0.000011""","=""10000""","=""1.3e+07""",D+,"=""42114.8380""","=""82853.704""","=""3d6.(5D).4p""","=""z 6F*""","=""9/2""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.397560""","=""0.000012""","=""245.397559""","=""0.000011""","=""50000""","=""1.31e+08""",C+,"=""44446.9051""","=""85184.773""","=""3d6.(5D).4p""","=""z 4D*""","=""7/2""","=""3d6.(5D).4d""","=""e 4G""","=""9/2""",8,10,,"=""T7186""","=""L18349c139""",
Fe,2,"=""245.41669""","=""0.00004""","=""245.416474""","=""0.000012""","=""9000""","=""8.e+06""",D+,"=""25787.5816""","=""66522.310""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""245.42125""","=""0.00009""","=""245.421327""","=""0.000012""","=""800""","=""1.5e+06""",D,"=""65363.607""","=""106097.530""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""","=""3d6.(3F2).4d""","=""2H""","=""9/2""",12,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.457782""","=""0.000013""","=""245.457647""","=""0.000018""","=""40000""","=""1.16e+08""",C+,"=""32875.6409""","=""73603.537""","=""3d6.(1I).4s""","=""a 2I""","=""13/2""","=""3d6.(1I).4p""","=""w 2H*""","=""11/2""",14,12,,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""245.45871""","=""0.00002""","=""245.458409""","=""0.000011""","=""12000""","=""8.e+06""",D+,"=""21430.3564""","=""62158.126""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""",12,10,,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""245.5461""","=""0.0005""","=""245.545604""","=""0.000012""","=""340d?""","=""2.6e+06""",D,"=""50187.822""","=""90901.130""","=""3d6.(3F1).4s""","=""c 4F""","=""7/2""","=""3d6.(5D).5p""","=""4P*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c142""",
Fe,2,"=""245.569096""","=""0.000017""","=""245.569105""","=""0.000012""","=""5000""","=""4.1e+07""",D+,"=""66012.775""","=""106722.187""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.571056""","=""0.000015""","=""245.571053""","=""0.000011""","=""31000""","=""1.01e+08""",C+,"=""44753.8179""","=""85462.907""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""","=""3d6.(5D).4d""","=""e 4G""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.58043""","=""0.00013""","=""245.580489""","=""0.000011""","=""500""","=""1.0e+07""",D+,"=""64286.354""","=""104993.879""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(3F2).4d""","=""4D""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.589787""","=""0.000013""","=""245.589794""","=""0.000011""","=""40000""","=""1.73e+08""",C+,"=""43620.9842""","=""84326.967""","=""3d6.(5D).4p""","=""z 6P*""","=""3/2""","=""3d6.(5D).4d""","=""6P""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.61177""","=""0.00013""","=""245.611606""","=""0.000011""","=""500""","=""1.1e+06""",D,"=""64425.405""","=""105127.773""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""","=""3d6.(5D).5d""","=""4D""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.64049""","=""0.00009""","=""245.640383""","=""0.000012""","=""1100""","=""1.3e+07""",D+,"=""64425.405""","=""105123.005""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""","=""3d6.(3H).4d""","=""2G""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.66419""","=""0.00005""","=""245.66420""","=""0.00003""","=""6000""","=""1.5e+07""",D+,"=""32909.883""","=""73603.537""","=""3d6.(1I).4s""","=""a 2I""","=""11/2""","=""3d6.(1I).4p""","=""w 2H*""","=""11/2""",12,12,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.68210""","=""0.00002""","=""245.682095""","=""0.000012""","=""14000""","=""1.3e+07""",D+,"=""25981.6451""","=""66672.336""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.69658""","=""0.00002""","=""245.696569""","=""0.000014""","=""14000""","=""2.2e+07""",D+,"=""50212.836""","=""90901.130""","=""3d6.(3P1).4s""","=""c 4P""","=""5/2""","=""3d6.(5D).5p""","=""4P*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.710162""","=""0.000017""","=""245.710169""","=""0.000013""","=""23000""","=""4.7e+07""",D+,"=""50212.836""","=""90898.878""","=""3d6.(3P1).4s""","=""c 4P""","=""5/2""","=""3d6.(5D).5p""","=""4D*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.7187""","=""0.0003""","=""245.718550""","=""0.000011""","=""1400""","=""5.1e+06""",D+,"=""45044.1916""","=""85728.846""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""","=""3d6.(5D).4d""","=""4S""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.7231""","=""0.0005""","=""245.722062""","=""0.000012""","=""200d?""","=""3.5e+06""",D,"=""64834.069""","=""105518.142""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(3F2).4d""","=""4F""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""245.733958""","=""0.000016""","=""245.733950""","=""0.000011""","=""7000""","=""8.9e+07""",C+,"=""65363.607""","=""106045.712""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""","=""3d6.(3H).4d""","=""2H""","=""11/2""",12,12,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.75505""","=""0.00004""","=""245.755097""","=""0.000018""","=""7000""","=""3.3e+06""",D,"=""31364.4554""","=""72043.060""","=""3d6.(3D).4s""","=""b 4D""","=""3/2""","=""3d6.(3D).4p""","=""w 4P*""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""245.757918""","=""0.000011""","=""245.758018""","=""0.000011""","=""60000""","=""1.11e+08""",C+,"=""44784.7859""","=""85462.907""","=""3d6.(5D).4p""","=""z 4D*""","=""5/2""","=""3d6.(5D).4d""","=""e 4G""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c145""",
Fe,1,"=""245.75966""","=""0.00002""","=""245.759680""","=""0.000009""","=""11000""","=""4.81e+07""",B,"=""6928.268""","=""47606.114""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""5""",11,11,,"=""T5720""","=""L11631""",
Fe,2,"=""245.7791""","=""0.0005""","=""245.779252""","=""0.000018""","=""900""","=""9.e+06""",D+,"=""31368.453""","=""72043.060""","=""3d6.(3D).4s""","=""b 4D""","=""1/2""","=""3d6.(3D).4p""","=""w 4P*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c142""",
Fe,2,"=""245.83587""","=""0.00005""","=""245.835894""","=""0.000011""","=""1400""","=""2.1e+07""",D+,"=""67516.328""","=""108181.564""","=""3d6.(3G).4p""","=""y 2H*""","=""11/2""","=""3d6.(3G).4d""","=""4G""","=""11/2""",12,12,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""245.85686""","=""0.00002""","=""245.856790""","=""0.000009""","=""288""","=""1.07e+06""",C,"=""6928.268""","=""47590.048""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",11,9,,"=""T5720""","=""L11631""",
Fe,2,"=""245.878354""","=""0.000012""","=""245.878349""","=""0.000012""","=""230000""","=""2.31e+08""",B+,"=""25805.3270""","=""66463.542""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.897276""","=""0.000012""","=""245.897303""","=""0.000018""","=""60000bl(Fe II)*""","=""2.5e+08""",C+,"=""31387.9788""","=""72043.060""","=""3d6.(3D).4s""","=""b 4D""","=""5/2""","=""3d6.(3D).4p""","=""w 4P*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""245.897276""","=""0.000012""","=""245.897341""","=""0.000011""","=""60000bl(Fe II)*""","=""5.8e+06""",D+,"=""65363.607""","=""106018.682""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""","=""3d6.(3H).4d""","=""2H""","=""9/2""",12,10,,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""245.90538""","=""0.00006""","=""245.905422""","=""0.000012""","=""1400""","=""7.3e+06""",D+,"=""64806.494""","=""105460.233""","=""3d6.(3P2).4p""","=""z 2P*""","=""1/2""","=""3d6.(3F2).4d""","=""4D""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.91133""","=""0.00004""","=""245.911335""","=""0.000012""","=""9000""","=""5.9e+06""",D+,"=""21430.3564""","=""62083.118""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""",12,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""245.92803""","=""0.00005""","=""245.928063""","=""0.000011""","=""6000""","=""1.6e+07""",D+,"=""42658.2444""","=""83308.241""","=""3d6.(5D).4p""","=""z 6P*""","=""7/2""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.00197""","=""0.00020""","=""246.001806""","=""0.000014""","=""1900""","=""9.e+05""",D,"=""50142.811""","=""90780.623""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(5D).5p""","=""4F*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.01543""","=""0.00002""","=""246.015419""","=""0.000011""","=""19000""","=""6.7e+07""",D+,"=""45044.1916""","=""85679.755""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""","=""3d6.(5D).4d""","=""e 4G""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.044008""","=""0.000012""","=""246.044008""","=""0.000011""","=""250000""","=""5.39e+08""",C+,"=""44232.5398""","=""84863.382""","=""3d6.(5D).4p""","=""z 4F*""","=""9/2""","=""3d6.(5D).4d""","=""e 4G""","=""11/2""",10,12,,"=""T7186""","=""L18349c139""",
Fe,2,"=""246.04798""","=""0.00014""","=""246.047909""","=""0.000011""","=""800""","=""6.2e+06""",D+,"=""64286.354""","=""104916.552""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.06503""","=""0.00006""","=""246.06504""","=""0.00004""","=""6000""","=""1.3e+08""",D+,"=""38214.503""","=""78841.872""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""","=""3d6.(1D2).4p""","=""w 2P*""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.128325""","=""0.000012""","=""246.128326""","=""0.000011""","=""180000""","=""2.34e+08""",B+,"=""26055.4120""","=""66672.336""","=""3d6.(3G).4s""","=""a 4G""","=""5/2""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.166996""","=""0.000020""","=""246.166967""","=""0.000012""","=""18000""","=""9.e+06""",D+,"=""21711.8963""","=""62322.445""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.186072""","=""0.000012""","=""246.186075""","=""0.000011""","=""220000""","=""2.43e+08""",B+,"=""25981.6451""","=""66589.042""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""246.21808""","=""0.00002""","=""246.218086""","=""0.000009""","=""1580""","=""1.10e+07""",C+,"=""415.933""","=""41018.051""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""",7,5,,"=""T5720""","=""L11631""",
Fe,2,"=""246.231828""","=""0.000016""","=""246.231822""","=""0.000011""","=""27000""","=""9.1e+07""",C+,"=""45079.9019""","=""85679.755""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""","=""3d6.(5D).4d""","=""e 4G""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""246.24299""","=""0.00008""","=""246.243050""","=""0.000013""","=""1000""","=""1.1e+07""",D+,"=""66248.647""","=""106846.649""","=""3d6.(3P2).4p""","=""z 2S*""","=""1/2""","=""3d6.(5D).5d""","=""4F""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""246.26471""","=""0.00002""","=""246.264707""","=""0.000006""","=""9300""","=""5.85e+07""",C+,"=""0.000""","=""40594.432""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""",9,9,,"=""T5720""","=""L11631""",
Fe,2,"=""246.27474""","=""0.00007""","=""246.274602""","=""0.000012""","=""2800""","=""3.4e+06""",D+,"=""50187.822""","=""90780.623""","=""3d6.(3F1).4s""","=""c 4F""","=""7/2""","=""3d6.(5D).5p""","=""4F*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""246.2978""","=""0.0013""","=""246.2987""","=""0.0004""","=""590""","=""1.7e+06""",D,"=""83161.80""","=""123750.63""","=""3d5.(4F).4s""","=""5F""","=""4""","=""3d5.(4D).4p""","=""5P*""","=""3""",9,7,,"=""T6105""","=""L3495""",
Fe,2,"=""246.328118""","=""0.000012""","=""246.328100""","=""0.000011""","=""70000""","=""7.1e+07""",C+,"=""25428.7893""","=""66012.775""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""",12,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.34923""","=""0.00017""","=""246.349100""","=""0.000011""","=""1800""","=""7.e+05""",D,"=""38858.9696""","=""79439.496""","=""3d6.(5D).4p""","=""z 6D*""","=""5/2""","=""3d6.(5D).5s""","=""e 4D""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.37170""","=""0.00003""","=""246.371652""","=""0.000014""","=""1800""","=""4.0e+06""",D+,"=""68000.785""","=""108577.597""","=""3d6.(3G).4p""","=""y 2H*""","=""9/2""","=""3d6.(3G).4d""","=""4H""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""246.37303""","=""0.00002""","=""246.373043""","=""0.000009""","=""1290""","=""1.64e+07""",B,"=""7728.060""","=""48304.643""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d7.(4P).4p""","=""x 3P*""","=""2""",7,5,,"=""T5720""","=""L11631""",
Fe,2,"=""246.39027""","=""0.00002""","=""246.390275""","=""0.000011""","=""17000""","=""6.8e+07""",C+,"=""43238.6066""","=""83812.352""","=""3d6.(5D).4p""","=""z 6P*""","=""5/2""","=""3d6.(5D).4d""","=""6D""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.400952""","=""0.000012""","=""246.400948""","=""0.000011""","=""90000""","=""1.32e+08""",C+,"=""25805.3270""","=""66377.315""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.42213""","=""0.00018""","=""246.422292""","=""0.000011""","=""700""","=""9.e+06""",D+,"=""64425.405""","=""104993.879""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""","=""3d6.(3F2).4d""","=""4D""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.4316""","=""0.0002""","=""246.431702""","=""0.000011""","=""500""","=""8.e+05""",D,"=""64831.951""","=""105398.876""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""","=""3d6.(3F2).4d""","=""4H""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""246.450""","=""0.003""","=""246.4487""","=""0.0006""","=""75""","=""1.63e+01""",B+,"=""436.19""","=""41000.31""","=""3d6""","=""5D""","=""3""","=""3d5.(6S).4s""","=""5S""","=""2""",7,5,E2,"=""u45""","=""L9779c153""",
Fe,2,"=""246.45287""","=""0.00010""","=""246.452912""","=""0.000013""","=""600""","=""6.e+06""",D,"=""66612.659""","=""107176.093""","=""3d6.(3G).4p""","=""x 4F*""","=""3/2""","=""3d6.(5D).5d""","=""4P""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.45583""","=""0.00005""","=""246.455817""","=""0.000013""","=""7000""","=""8.e+07""",D+,"=""47626.110""","=""88189.066""","=""3d6.(5D).4p""","=""z 4P*""","=""1/2""","=""3d6.(5D).4d""","=""4P""","=""1/2""",2,2,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.490515""","=""0.000012""","=""246.490512""","=""0.000012""","=""80000""","=""2.22e+08""",C+,"=""26055.4120""","=""66612.659""","=""3d6.(3G).4s""","=""a 4G""","=""5/2""","=""3d6.(3G).4p""","=""x 4F*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""246.51491""","=""0.00002""","=""246.514911""","=""0.000009""","=""6900""","=""4.35e+07""",B,"=""7376.764""","=""47929.997""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",9,9,,"=""T5720""","=""L11631""",
Fe,2,"=""246.519994""","=""0.000012""","=""246.519992""","=""0.000011""","=""90000""","=""1.34e+08""",C+,"=""22409.8178""","=""62962.215""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.5638""","=""0.0005""","=""246.562807""","=""0.000012""","=""160""","=""4.9e+06""",D+,"=""64834.069""","=""105379.425""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(3F2).4d""","=""4D""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c142""",
Fe,2,"=""246.57298""","=""0.00008""","=""246.573237""","=""0.000012""","=""1200""","=""4.9e+06""",D+,"=""66522.310""","=""107065.951""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d6.(5D).5d""","=""4P""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""246.587712""","=""0.000015""","=""246.587725""","=""0.000012""","=""7000""","=""5.5e+07""",C+,"=""65556.271""","=""106097.530""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""","=""3d6.(3F2).4d""","=""2H""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.591333""","=""0.000012""","=""246.591339""","=""0.000011""","=""90000""","=""1.62e+08""",C+,"=""25981.6451""","=""66522.310""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.62374""","=""0.00014""","=""246.623698""","=""0.000011""","=""700""","=""1.1e+06""",D,"=""63876.325""","=""104411.671""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""","=""3d6.(5D).5d""","=""6D""","=""9/2""",12,10,,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""246.649779""","=""0.000015""","=""246.649743""","=""0.000012""","=""32000""","=""2.4e+08""",C+,"=""47626.110""","=""88157.176""","=""3d6.(5D).4p""","=""z 4P*""","=""1/2""","=""3d6.(5D).4d""","=""4P""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.667106""","=""0.000012""","=""246.667095""","=""0.000011""","=""100000""","=""2.6e+08""",C+,"=""23031.2829""","=""63559.498""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.676678""","=""0.000014""","=""246.676682""","=""0.000018""","=""29000""","=""1.97e+08""",C+,"=""38164.220""","=""78690.860""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""","=""3d6.(1D2).4p""","=""w 2D*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.681913""","=""0.000012""","=""246.681900""","=""0.000011""","=""140000""","=""1.77e+08""",C+,"=""22939.3512""","=""63465.134""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.69849""","=""0.00007""","=""246.698489""","=""0.000011""","=""1100""","=""2.6e+07""",D+,"=""66377.315""","=""106900.373""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.71184""","=""0.00008""","=""246.711865""","=""0.000012""","=""1300""","=""1.3e+07""",D+,"=""64286.354""","=""104807.215""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(3H).4d""","=""2G""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.77430""","=""0.00002""","=""246.774117""","=""0.000012""","=""14000""","=""1.7e+08""",D+,"=""43620.9842""","=""84131.624""","=""3d6.(5D).4p""","=""z 6P*""","=""3/2""","=""3d6.(5D).4d""","=""6D""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""246.81926""","=""0.00011""","=""246.819043""","=""0.000018""","=""2700bl(Ne)""","=""5.4e+06""",D+,"=""33466.4943""","=""73969.761""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(1I).4p""","=""y 2I*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""246.82567""","=""0.00009""","=""246.825546""","=""0.000013""","=""4000""","=""2.6e+06""",D,"=""20830.5534""","=""61332.753""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.829592""","=""0.000019""","=""246.829792""","=""0.000011""","=""21000""","=""1.0e+07""",D+,"=""21581.6151""","=""62083.118""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""246.8564""","=""0.0005""","=""246.855326""","=""0.000012""","=""1500""","=""7.e+05""",D,"=""20340.2461""","=""60837.560""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""",12,14,,"=""T6892c83""","=""L18349c142""",
Fe,1,"=""246.88797""","=""0.00002""","=""246.887968""","=""0.000009""","=""7100""","=""2.40e+07""",B+,"=""6928.268""","=""47420.228""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""5""",11,11,,"=""T5720""","=""L11631""",
Fe,2,"=""246.93715""","=""0.00008""","=""246.937046""","=""0.000011""","=""5000""","=""2.2e+06""",C+,"=""21581.6151""","=""62065.528""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",10,8,,"=""T7461""","=""L18349c139""",
Fe,2,"=""246.94846""","=""0.00005""","=""246.948319""","=""0.000012""","=""1700""","=""8.e+06""",D+,"=""64806.494""","=""105288.559""","=""3d6.(3P2).4p""","=""z 2P*""","=""1/2""","=""3d6.(5D).5d""","=""6G""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""246.951439""","=""0.000012""","=""246.951448""","=""0.000012""","=""90000""","=""2.58e+08""",B+,"=""31483.1979""","=""71964.750""","=""3d6.(3D).4s""","=""b 4D""","=""7/2""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.97152""","=""0.00003""","=""246.971512""","=""0.000010""","=""10000""","=""2.7e+07""",D+,"=""42658.2444""","=""83136.508""","=""3d6.(5D).4p""","=""z 6P*""","=""7/2""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""246.98315""","=""0.00004""","=""246.983146""","=""0.000018""","=""9000""","=""6.4e+07""",D+,"=""38214.503""","=""78690.860""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""","=""3d6.(1D2).4p""","=""w 2D*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""247.040878""","=""0.000014""","=""247.040882""","=""0.000012""","=""33000""","=""6.0e+07""",D+,"=""26055.4120""","=""66522.310""","=""3d6.(3G).4s""","=""a 4G""","=""5/2""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""247.0495""","=""0.0005""","=""247.048519""","=""0.000011""","=""150d,bl(Fe II)?*""","=""1.4e+06""",D,"=""65580.065""","=""106045.712""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""","=""3d6.(3H).4d""","=""2H""","=""11/2""",12,12,,"=""T6892c83""","=""L18349c142""",
