element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
He,2,"=""""","=""""","=""468.5917885""","=""0.0000023""","=""""","=""5.5680e+06""",AA,"=""(390142.55757536)""","=""(411477.1227550)""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
He,1,"=""471.31457""","=""0.00006""","=""471.3139173""","=""0.0000024""","=""30*""","=""5.2894e+06""",AAA,"=""[169086.76391031]""","=""[190298.110654]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
He,1,"=""471.31457""","=""0.00006""","=""471.3156155""","=""0.0000024""","=""30*""","=""3.1736e+06""",AAA,"=""[169086.84033581]""","=""[190298.110654]""","=""1s.2p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
He,1,"=""""","=""""","=""471.3375684""","=""0.0000024""","=""4""","=""1.0579e+06""",AAA,"=""[169087.82825101]""","=""[190298.110654]""","=""1s.2p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""491.0747480""","=""0.0000025""","=""""","=""1.028e+01""",AA,"=""[171134.894441]""","=""[191492.7093035]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
He,1,"=""""","=""""","=""492.0612726""","=""0.0000025""","=""""","=""6.235e+01""",AA,"=""[171134.894441]""","=""[191451.894854811]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4f""","=""1F*""","=""3""",3,7,E2,"=""T3908""","=""""",
He,1,"=""492.19313""","=""0.00005""","=""492.1931036""","=""0.0000025""","=""20""","=""1.9863e+07""",AAA,"=""[171134.894441]""","=""[191446.45313936]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
He,1,"=""501.56783""","=""0.00003""","=""501.567801""","=""0.000003""","=""100""","=""1.3372e+07""",AAA,"=""[166277.437635]""","=""[186209.3623329]""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14926""",
He,1,"=""""","=""""","=""504.208749""","=""0.000003""","=""""","=""1.022e+02""",AA,"=""[166277.437635]""","=""[186104.96409510]""","=""1s.2s""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
He,1,"=""504.7738""","=""""","=""504.773857""","=""0.000003""","=""10""","=""6.7712e+06""",AAA,"=""[171134.894441]""","=""[190940.223749]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L14925c72""",
