element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Eu,1,"=""607.558""","=""607.556+""","=""90""","=""1.30e+07""",B,"=""15421.25""","=""31876.09""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""5/2""",8,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""608.384""","=""608.385+""","=""240""","=""1.33e+07""",B+,"=""13778.68""","=""30211.09""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""13/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""13/2""",14,14,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""609.935""","=""609.935+""","=""240""","=""1.71e+07""",B+,"=""13222.04""","=""29612.69""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""11/2""",10,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""611.878""","=""611.877+""","=""120""","=""1.31e+07""",B+,"=""16079.76""","=""32418.38""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""11/2""",12,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""612.467""","=""612.464+""","=""60""","=""6.8e+06""",B,"=""15680.28""","=""32003.24""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""618.813""","=""618.814+""","=""260cw""","=""2.00e+07""",B+,"=""13457.21""","=""29612.69""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""11/2""",12,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""619.507""","=""619.506+""","=""140""","=""9.3e+06""",B+,"=""13048.90""","=""29186.32""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""9/2""",8,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""620.760""","=""620.758+""","=""15h""","=""3.0e+06""",B,"=""16079.76""","=""32184.65""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""623.051""","=""623.050+""","=""15""","=""1.65e+06""",B,"=""15680.28""","=""31725.93""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""11/2""",10,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""623.373""","=""623.372+""","=""90h""","=""6.6e+06""",B+,"=""16079.76""","=""32117.10""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""13/2""",12,14,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""625.047""","=""625.044+""","=""55""","=""2.63e+06""",B+,"=""12923.72""","=""28918.17""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""7/2""",6,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""626.225""","=""626.225+""","=""240""","=""2.19e+07""",B+,"=""13222.04""","=""29186.32""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""9/2""",10,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""626.695""","=""626.695+""","=""55""","=""5.3e+04""",C+,"=""0.00""","=""15952.31""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""7/2""",8,8,,"=""T7227""","=""L7586,L3475""",
Eu,1,"=""628.595""","=""628.594+""","=""15h""","=""1.44e+06""",B+,"=""12923.72""","=""28827.83""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f6.(7F).5d.6s2""","=""8D""","=""7/2""",6,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""629.134""","=""629.132+""","=""60""","=""1.64e+05""",B+,"=""0.00""","=""15890.53""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""5/2""",8,6,,"=""T7227""","=""L7586,L3475""",
Eu,1,"=""629.977""","=""629.974+""","=""170*""","=""1.34e+07""",B+,"=""13048.90""","=""28918.17""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""631.378""","=""631.377+""","=""24h""","=""1.32e+06""",B,"=""13778.68""","=""29612.69""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""13/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""11/2""",14,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""633.582""","=""633.581+""","=""75""","=""7.5e+06""",B+,"=""13048.90""","=""28827.83""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f6.(7F).5d.6s2""","=""8D""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""635.004""","=""635.000+""","=""120cw""","=""1.60e+07""",B+,"=""12923.72""","=""28667.39""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""5/2""",6,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""635.589""","=""635.588+""","=""60""","=""4.7e+06""",B+,"=""13457.21""","=""29186.32""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""636.925""","=""636.924+""","=""60""","=""5.9e+06""",B+,"=""13222.04""","=""28918.17""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""638.386""","=""638.379+""","=""75""","=""2.00e+07""",B+,"=""15137.72""","=""30798.06""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""3/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""5/2""",4,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""640.093""","=""640.090+""","=""120cw""","=""1.75e+07""",B+,"=""13048.90""","=""28667.39""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""5/2""",8,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""640.611""","=""640.611+""","=""40""","=""3.75e+06""",B+,"=""13222.04""","=""28827.83""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f6.(7F).5d.6s2""","=""8D""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""641.004""","=""641.003+""","=""180""","=""3.34e+07""",B+,"=""12923.72""","=""28519.97""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""3/2""",6,4,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""641.132""","=""641.127+""","=""140""","=""2.33e+07""",B+,"=""15248.76""","=""30841.99""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""7/2""",6,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""643.993""","=""643.993+""","=""18""","=""3.2e+06""",C+,"=""15421.25""","=""30945.07""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""5/2""",8,6,,"=""T7356""","=""L7586,L3475""",
