element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Y,2,"=""511.9110""","=""511.9112+""","=""""","=""210""","=""1.57e+06""",B,"=""8003.126""","=""27532.321""","=""4d2""","=""a 3F""","=""2""","=""4d.5p""","=""z 3F*""","=""3""",5,7,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""512.3209""","=""512.3211+""","=""""","=""450""","=""1.3e+07""",D+,"=""8003.126""","=""27516.699""","=""4d2""","=""a 3F""","=""2""","=""4d.5p""","=""z 1P*""","=""1""",5,3,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""520.0409""","=""520.0410+""","=""""","=""960""","=""1.32e+07""",B+,"=""8003.126""","=""27227.027""","=""4d2""","=""a 3F""","=""2""","=""4d.5p""","=""z 3F*""","=""2""",5,5,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""520.50105""","=""520.50081""","=""0.00004""","=""2""","=""8.e+05""",D+,"=""14948.994""","=""34155.912""","=""4d.5s.(3D).5p""","=""z 4F*""","=""3/2""","=""5p2.(3P).5s""","=""e 4P""","=""3/2""",4,4,,"=""T4373""","=""L7610""",
Y,2,"=""520.5722""","=""520.5723+""","=""""","=""1500""","=""1.59e+07""",B+,"=""8328.039""","=""27532.321""","=""4d2""","=""a 3F""","=""3""","=""4d.5p""","=""z 3F*""","=""3""",7,7,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""522.85291""","=""522.85293""","=""0.00006""","=""8""","=""4.2e+06""",B+,"=""18499.315""","=""37619.829""","=""4d2.(1G).5s""","=""a 2G""","=""9/2""","=""4d2.(1D).5p""","=""w 2F*""","=""7/2""",10,8,,"=""T9421""","=""L7610""",
Y,1,"=""523.21103""","=""523.21105""","=""0.00006""","=""2""","=""1.30e+06""",B+,"=""18512.402""","=""37619.829""","=""4d2.(1G).5s""","=""a 2G""","=""7/2""","=""4d2.(1D).5p""","=""w 2F*""","=""7/2""",8,8,,"=""T9421""","=""L7610""",
Y,1,"=""525.8474""","=""525.84708""","=""0.00004""","=""1""","=""2.8e+05""",D+,"=""15245.803""","=""34257.447""","=""4d.5s.(3D).5p""","=""z 4F*""","=""5/2""","=""5s2.(2D).5d""","=""e 2D""","=""5/2""",6,6,,"=""T4373""","=""L7610""",
Y,1,"=""""","=""527.18155""","=""0.00011""","=""""","=""1.1e+06""",D+,"=""18512.402""","=""37475.922""","=""4d2.(1G).5s""","=""a 2G""","=""7/2""","=""4d2.(3P).5p""","=""y 4P*""","=""5/2""",8,6,,"=""T4373""","=""""",
Y,2,"=""528.9815""","=""528.9817+""","=""""","=""60""","=""6.7e+05""",C+,"=""8328.039""","=""27227.027""","=""4d2""","=""a 3F""","=""3""","=""4d.5p""","=""z 3F*""","=""2""",7,5,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""532.0782""","=""532.0783+""","=""""","=""45""","=""3.8e+05""",C,"=""8743.322""","=""27532.321""","=""4d2""","=""a 3F""","=""4""","=""4d.5p""","=""z 3F*""","=""3""",9,7,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""538.06294""","=""538.06294""","=""0.00004""","=""75""","=""3.20e+07""",B+,"=""15326.741""","=""33906.761""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",6,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""538.1244""","=""538.12446""","=""0.00004""","=""2""","=""9.7e+05""",C,"=""15328.865""","=""33906.761""","=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",4,4,,"=""T4373""","=""L7610""",
Y,1,"=""538.83878""","=""538.83875""","=""0.00006""","=""5""","=""1.12e+06""",C+,"=""15476.533""","=""34029.802""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3F).5p""","=""x 2F*""","=""7/2""",6,8,,"=""T4373""","=""L7610""",
Y,1,"=""539.08129""","=""539.08120""","=""0.00004""","=""11""","=""2.9e+06""",C+,"=""15712.522""","=""34257.447""","=""4d.5s.(3D).5p""","=""z 4F*""","=""7/2""","=""5s2.(2D).5d""","=""e 2D""","=""5/2""",8,6,,"=""T4373""","=""L7610""",
Y,1,"=""540.18770""","=""540.18766""","=""0.00004""","=""2""","=""6.e+05""",D,"=""15245.803""","=""33752.743""","=""4d.5s.(3D).5p""","=""z 4F*""","=""5/2""","=""4d.5s.(3D).6s""","=""e 4D""","=""7/2""",6,8,,"=""T4373""","=""L7610""",
Y,1,"=""542.43619""","=""542.43610""","=""0.00004""","=""90""","=""3.49e+07""",B+,"=""15476.533""","=""33906.761""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",6,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""546.62417""","=""546.62434""","=""0.00004""","=""190""","=""1.05e+07""",C,"=""14948.994""","=""33238.011""","=""4d.5s.(3D).5p""","=""z 4F*""","=""3/2""","=""4d.5s.(3D).6s""","=""e 4D""","=""3/2""",4,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""546.6467""","=""546.6464""","=""0.0004""","=""710""","=""6.4e+07""",B+,"=""11532.096""","=""29820.374""","=""4d2.(3F).5s""","=""a 4F""","=""9/2""","=""4d2.(3F).5p""","=""z 4G*""","=""11/2""",10,12,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""546.8470""","=""546.84698""","=""0.00004""","=""100""","=""3.78e+07""",B+,"=""15326.741""","=""33608.312""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3F).5p""","=""x 2F*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""546.9104""","=""546.91053""","=""0.00004""","=""1""","=""3.6e+05""",D+,"=""15328.865""","=""33608.312""","=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""4d2.(3F).5p""","=""x 2F*""","=""5/2""",4,6,,"=""T4373""","=""L7610""",
Y,2,"=""547.3384""","=""547.3385+""","=""""","=""90""","=""4.3e+06""",B,"=""14018.267""","=""32283.420""","=""4d2""","=""a 3P""","=""1""","=""4d.5p""","=""y 3P*""","=""2""",3,5,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""548.0730""","=""548.0730+""","=""""","=""90""","=""7.6e+06""",B,"=""13883.379""","=""32124.054""","=""4d2""","=""a 3P""","=""0""","=""4d.5p""","=""y 3P*""","=""1""",1,3,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""549.3148""","=""549.31490""","=""0.00007""","=""60""","=""3.6e+07""",C,"=""14948.994""","=""33148.432""","=""4d.5s.(3D).5p""","=""z 4F*""","=""3/2""","=""4d.5s.(3D).6s""","=""e 4D""","=""1/2""",4,2,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""549.5580""","=""549.55813""","=""0.00004""","=""35""","=""1.37e+07""",C+,"=""16066.064""","=""34257.447""","=""4d.5s.(3D).5p""","=""z 2D*""","=""5/2""","=""5s2.(2D).5d""","=""e 2D""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,2,"=""549.7405""","=""549.7406+""","=""""","=""240""","=""1.15e+07""",B,"=""14098.076""","=""32283.420""","=""4d2""","=""a 3P""","=""2""","=""4d.5p""","=""y 3P*""","=""2""",5,5,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""550.34639""","=""550.34660""","=""0.00007""","=""300""","=""6.39e+07""",A,"=""15864.481""","=""34029.802""","=""4d2.(3F).5s""","=""a 2F""","=""7/2""","=""4d2.(3F).5p""","=""x 2F*""","=""7/2""",8,8,,"=""T4373""","=""L7610,L3475""",
Y,2,"=""550.9894""","=""550.9895+""","=""""","=""250""","=""4.24e+06""",B+,"=""8003.126""","=""26147.252""","=""4d2""","=""a 3F""","=""2""","=""4d.5p""","=""z 1D*""","=""2""",5,5,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""551.36475""","=""551.36470""","=""0.00004""","=""60""","=""2.38e+07""",B+,"=""15476.533""","=""33608.312""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3F).5p""","=""x 2F*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""551.98803""","=""551.98787""","=""0.00004""","=""3""","=""1.17e+06""",C,"=""16146.138""","=""34257.447""","=""4d.5s.(3D).5p""","=""z 2D*""","=""3/2""","=""5s2.(2D).5d""","=""e 2D""","=""5/2""",4,6,,"=""T4373""","=""L7610""",
Y,1,"=""552.16946""","=""552.16952""","=""0.00004""","=""120""","=""1.61e+07""",B+,"=""15326.741""","=""33432.092""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3F).5p""","=""z 2G*""","=""7/2""",6,8,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""""","=""552.64274""","=""0.00004""","=""""","=""4.0e+05""",D+,"=""16066.064""","=""34155.912""","=""4d.5s.(3D).5p""","=""z 2D*""","=""5/2""","=""5p2.(3P).5s""","=""e 4P""","=""3/2""",6,4,,"=""T4373""","=""""",
Y,1,"=""552.7561""","=""552.75472""","=""0.00013""","=""740""","=""5.4e+07""",B+,"=""11277.928""","=""29364.111""","=""4d2.(3F).5s""","=""a 4F""","=""7/2""","=""4d2.(3F).5p""","=""z 4G*""","=""9/2""",8,10,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""""","=""553.25662""","=""0.00013""","=""""","=""1.4e+06""",C,"=""19406.146""","=""37475.922""","=""4d2.(3P).5s""","=""a 2P""","=""3/2""","=""4d2.(3P).5p""","=""y 4P*""","=""5/2""",4,6,,"=""T4373""","=""""",
Y,1,"=""554.16290""","=""554.16302""","=""0.00004""","=""35""","=""5.2e+06""",C,"=""15712.522""","=""33752.743""","=""4d.5s.(3D).5p""","=""z 4F*""","=""7/2""","=""4d.5s.(3D).6s""","=""e 4D""","=""7/2""",8,8,,"=""T4373""","=""L7610,L3475""",
