element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mn,2,"=""187.716""","=""0.0015""","=""187.71549""","=""0.00004""","=""30""","=""3.0e+05""",D,"=""14593.835""","=""67865.945""","=""3d6""","=""a 5D""","=""3""","=""3d5.(4G).4p""","=""z 3F*""","=""4""",7,9,,"=""T7259""","=""L562""",
Mn,2,"=""188.787""","=""0.0015""","=""188.78760""","=""0.00005""","=""10""","=""2.0e+05""",D,"=""14325.866""","=""67295.446""","=""3d6""","=""a 5D""","=""4""","=""3d5.(4P).4p""","=""z 5D*""","=""4""",9,9,,"=""T7259""","=""L562""",
Mn,2,"=""189.748""","=""0.0015""","=""189.74752""","=""0.00004""","=""100""","=""4.6e+06""",B,"=""14593.835""","=""67295.446""","=""3d6""","=""a 5D""","=""3""","=""3d5.(4P).4p""","=""z 5D*""","=""4""",7,9,,"=""T7259""","=""L562""",
Mn,2,"=""189.812""","=""0.0015""","=""189.81329""","=""0.00004""","=""30""","=""1.7e+06""",C+,"=""14325.866""","=""67009.217""","=""3d6""","=""a 5D""","=""4""","=""3d5.(4P).4p""","=""z 5D*""","=""3""",9,7,,"=""T7259""","=""L562""",
Mn,2,"=""190.2948""","=""0.0006""","=""190.29467""","=""0.00014""","=""500""","=""1.8e+08""",D,"=""29869.42""","=""82419.50""","=""3d6""","=""a 3P""","=""2""","=""3d5.(a 2F).4p""","=""w 3D*""","=""3""",5,7,,"=""c88""","=""L562""",
Mn,2,"=""190.7840""","=""0.0006""","=""190.78369""","=""0.00004""","=""200""","=""1.32e+07""",B+,"=""14593.835""","=""67009.217""","=""3d6""","=""a 5D""","=""3""","=""3d5.(4P).4p""","=""z 5D*""","=""3""",7,7,,"=""T7259""","=""L562""",
Mn,2,"=""190.891""","=""0.0015""","=""190.89084""","=""0.00018""","=""100""","=""1.6e+08""",D,"=""30684.96""","=""83070.92""","=""3d6""","=""a 3P""","=""1""","=""3d5.(a 2F).4p""","=""w 3D*""","=""2""",3,5,,"=""c88""","=""L562""",
Mn,2,"=""190.9830""","=""0.0006""","=""190.98230""","=""0.00004""","=""60*""","=""4.2e+06""",B,"=""14325.866""","=""66686.739""","=""3d6""","=""a 5D""","=""4""","=""3d5.(4G).4p""","=""z 5F*""","=""3""",9,7,,"=""T7259""","=""L562""",
Mn,2,"=""191.141""","=""0.0015""","=""191.14089""","=""0.00004""","=""300""","=""7.9e+07""",C+,"=""14325.866""","=""66643.296""","=""3d6""","=""a 5D""","=""4""","=""3d5.(4G).4p""","=""z 5F*""","=""4""",9,9,,"=""T7259""","=""L562""",
Mn,2,"=""191.176""","=""0.002""","=""191.17659""","=""0.00004""","=""2h""","=""5.0e+05""",C,"=""14593.835""","=""66901.494""","=""3d6""","=""a 5D""","=""3""","=""3d5.(4G).4p""","=""z 5F*""","=""2""",7,5,,"=""T7259""","=""L562""",
Mn,2,"=""191.468""","=""0.002""","=""191.46813""","=""0.00004""","=""200D*""","=""2.12e+07""",B+,"=""14781.205""","=""67009.217""","=""3d6""","=""a 5D""","=""2""","=""3d5.(4P).4p""","=""z 5D*""","=""3""",5,7,,"=""T7259""","=""L562""",
