element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Dy,1,"=""423.202""","=""423.2025+""","=""680""","=""7.9e+07""",B+,"=""9211.591""","=""32834.29""","=""4f10.6s2""","=""5I""","=""5""","=""""","=""*""","=""6""",11,13,,"=""T7148""","=""L3475""",
Dy,1,"=""423.985""","=""423.9856+""","=""680""","=""9.4e+07""",B+,"=""9211.591""","=""32790.66""","=""4f10.6s2""","=""5I""","=""5""","=""""","=""*""","=""6""",11,13,,"=""T7148""","=""L3475""",
Dy,1,"=""424.591""","=""424.5915+""","=""440""","=""1.18e+08""",B+,"=""10925.277""","=""34470.70""","=""4f10.6s2""","=""5I""","=""4""","=""4f10.(5I<4>).6s.6p.(1P*<1>)""","=""(4,1)*""","=""5""",9,11,,"=""T7148""","=""L3475""",
Dy,1,"=""426.8264""","=""426.8267+""","=""1000""","=""1.14e+06""",B+,"=""4134.222""","=""27556.34""","=""4f10.6s2""","=""5I""","=""7""","=""4f9.(6H*).5d2.(3F) (8L*).6s""","=""9L*""","=""7""",15,15,,"=""T7148""","=""L1177""",
Dy,1,"=""427.669""","=""427.6691+""","=""250""","=""1.22e+07""",B+,"=""7050.603""","=""30426.59""","=""4f10.6s2""","=""5I""","=""6""","=""""","=""*""","=""6""",13,13,,"=""T7148""","=""L3475""",
Dy,1,"=""429.1966""","=""429.1954+""","=""3000""","=""2.28e+06""",B+,"=""4134.222""","=""27427.08""","=""4f10.6s2""","=""5I""","=""7""","=""4f10.(5I<5>).6s.6p.(3P*<2>)""","=""(5,2)*""","=""7""",15,15,,"=""T7148""","=""L1177""",
Dy,1,"=""456.509""","=""456.5093+""","=""140""","=""6.6e+05""",B+,"=""0.000""","=""21899.22""","=""4f10.6s2""","=""5I""","=""8""","=""4f10.(5I<7>).6s.6p.(3P*<2>)""","=""(7,2)*""","=""8""",17,17,,"=""T7148""","=""L3475""",
Dy,1,"=""457.778""","=""457.7776+""","=""420""","=""1.96e+06""",B+,"=""0.000""","=""21838.55""","=""4f10.6s2""","=""5I""","=""8""","=""4f10.(5I<7>).6s.6p.(3P*<2>)""","=""(7,2)*""","=""9""",17,19,,"=""T7148""","=""L3475""",
Dy,1,"=""458.936""","=""458.93642+""","=""2100""","=""1.37e+07""",B+,"=""0.000""","=""21783.407""","=""4f10.6s2""","=""5I""","=""8""","=""4f9.(6H*).5d.6s2""","=""5K*""","=""7""",17,15,,"=""T7148""","=""L3475""",
Dy,1,"=""461.226""","=""461.2259+""","=""990""","=""8.2e+06""",B+,"=""0.000""","=""21675.28""","=""4f10.6s2""","=""5I""","=""8""","=""4f9.(6F*).5d.6s2""","=""5H*""","=""7""",17,15,,"=""T7148""","=""L3475""",
Dy,1,"=""479.129""","=""479.1293+""","=""95""","=""1.16e+06""",B+,"=""4134.222""","=""24999.58""","=""4f10.6s2""","=""5I""","=""7""","=""4f10.(5I<6>).6s.6p.(3P*<2>)""","=""(6,2)*""","=""8""",15,17,,"=""T7148""","=""L3475""",
