element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
La,2,"=""479.669""","=""479.668+""","=""28""","=""8.3e+05""",C+,"=""7473.32""","=""28315.25""","=""5d2""","=""a 1G""","=""4""","=""5d.6p""","=""y 3D*""","=""3""",9,7,,"=""T7455""","=""L3475""",
La,1,"=""480.025""","=""480.0240+""","=""23""","=""1.63e+07""",B,"=""7679.939""","=""28506.41""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
La,2,"=""480.404""","=""480.404+""","=""160""","=""3.14e+06""",B+,"=""1895.15""","=""22705.15""","=""5d.6s""","=""a 3D""","=""1""","=""4f.5d""","=""z 3P*""","=""1""",3,3,,"=""T7455""","=""L3475""",
La,2,"=""480.901""","=""480.900+""","=""160""","=""1.15e+07""",B+,"=""1895.15""","=""22683.70""","=""5d.6s""","=""a 3D""","=""1""","=""4f.5d""","=""z 3P*""","=""0""",3,1,,"=""T7455""","=""L3475""",
La,1,"=""481.717""","=""481.7247+""","=""28h""","=""1.75e+07""",B,"=""9183.797""","=""29936.74&dagger;""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""4f.5d.(3P*).6s""","=""*""","=""3/2""",6,4,,"=""T9460""","=""L3475""",
La,2,"=""482.406""","=""482.405+""","=""200""","=""1.29e+07""",B,"=""5249.70""","=""25973.37""","=""5d2""","=""a 3P""","=""0""","=""5d.6p""","=""y 3D*""","=""1""",1,3,,"=""T7455""","=""L3475""",
La,1,"=""""","=""482.6977+""","=""""","=""1.15e+06""",B,"=""9183.797""","=""29894.91""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""4f.5d.(3D*).6s""","=""*""","=""7/2""",6,8,,"=""T9460""","=""""",
La,1,"=""""","=""483.0780+""","=""""","=""4.60e+05""",C,"=""3010.002""","=""23704.81""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""5d2.(3P).6p""","=""4D*""","=""3/2""",6,4,,"=""T9460""","=""""",
La,1,"=""483.952""","=""483.9514+""","=""70""","=""4.38e+07""",B+,"=""7011.909""","=""27669.37""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""4f.5d.(3F*).6s""","=""2F*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
La,2,"=""484.001""","=""484.001+""","=""45""","=""9.2e+05""",C+,"=""2591.60""","=""23246.93""","=""5d.6s""","=""a 3D""","=""2""","=""4f.5d""","=""z 3P*""","=""2""",5,5,,"=""T7455""","=""L3475""",
La,1,"=""485.082""","=""485.0812+""","=""70""","=""6.2e+06""",B,"=""1053.164""","=""21662.51""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3F).6p""","=""2G*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
La,1,"=""485.495""","=""485.4950+""","=""23""","=""2.7e+07""",B+,"=""9183.797""","=""29775.58&dagger;""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
La,2,"=""486.091""","=""486.089+""","=""320""","=""3.69e+06""",B+,"=""1970.70""","=""22537.30""","=""5d2""","=""a 3F""","=""4""","=""4f.5d""","=""z 3D*""","=""3""",9,7,,"=""T7455""","=""L3475""",
