element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
F,2,"=""350.563""","=""""","=""350.5628""","=""220""","=""2.86e+08""",C,"=""202480.26""","=""230997.66""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""",7,9,,"=""T1115CA,LS""","=""L369""",
F,2,"=""""","=""""","=""353.5188""","=""""","=""2.1e+08""",D,"=""211900.26""","=""240179.22""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3P""","=""0""",3,1,,"=""T1115CA,LS""","=""""",
F,2,"=""353.687""","=""""","=""353.6869""","=""150""","=""1.5e+08""",D,"=""211887.19""","=""240152.71""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3P""","=""1""",5,3,,"=""T1115CA,LS""","=""L369""",
F,2,"=""""","=""""","=""353.8505""","=""""","=""5.1e+07""",D,"=""211900.26""","=""240152.71""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3P""","=""1""",3,3,,"=""T1115CA,LS""","=""""",
F,2,"=""354.177""","=""""","=""354.1768""","=""160""","=""1.7e+08""",D,"=""211866.13""","=""240092.55""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2D*).3p""","=""3P""","=""2""",7,5,,"=""T1115CA,LS""","=""L369""",
F,2,"=""""","=""""","=""354.4413""","=""""","=""3.1e+07""",D,"=""211887.19""","=""240092.55""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3P""","=""2""",5,5,,"=""T1115CA,LS""","=""""",
F,2,"=""""","=""""","=""354.6056""","=""""","=""2.1e+06""",D,"=""211900.26""","=""240092.55""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3P""","=""2""",3,5,,"=""T1115CA,LS""","=""""",
F,2,"=""""","=""""","=""364.0884""","=""""","=""1.37e+07""",C,"=""237507.65""","=""264965.68""","=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""4""",9,9,,"=""T1115CA,LS""","=""""",
F,2,"=""""","=""""","=""364.0961""","=""""","=""9.2e+05""",C,"=""237508.23""","=""264965.68""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""4""",7,9,,"=""T1115CA,LS""","=""""",
F,2,"=""""","=""""","=""364.1864""","=""""","=""1.18e+06""",C,"=""237507.65""","=""264958.29""","=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""3""",9,7,,"=""T1115CA,LS""","=""""",
F,2,"=""""","=""""","=""364.1941""","=""""","=""1.23e+07""",C,"=""237508.23""","=""264958.29""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""3""",7,7,,"=""T1115CA,LS""","=""""",
