element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ca,3,"=""206.2155""","=""0.0008""","=""206.2156""","=""0.0003""","=""700""","=""2.35e+08""",B,"=""282571.43""","=""331048.86""","=""3s2.3p5.4p""","=""3P""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,"=""u33""","=""L262""",
Ca,3,"=""206.3524""","=""0.0008""","=""206.3525""","=""0.0003""","=""600""","=""1.6e+07""",C,"=""277022.40""","=""325467.67""","=""3s2.3p5.4p""","=""3D""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""",7,5,,"=""u33""","=""L262""",
Ca,3,"=""207.4841""","=""0.0008""","=""207.4842""","=""0.0003""","=""700""","=""6.0e+07""",B,"=""279741.80""","=""327922.87""","=""3s2.3p5.4p""","=""1D""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",5,5,,"=""u33""","=""L262""",
Ca,3,"=""207.8916""","=""0.0008""","=""207.8910""","=""0.0003""","=""2100""","=""2.9e+08""",B,"=""277380.86""","=""325467.67""","=""3s2.3p5.4p""","=""3D""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""",5,5,,"=""u33""","=""L262""",
Ca,3,"=""209.8497""","=""0.0008""","=""209.8495""","=""0.0003""","=""2100""","=""1.44e+08""",B,"=""277022.40""","=""324660.47""","=""3s2.3p5.4p""","=""3D""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""",7,7,,"=""u33""","=""L262""",
Ca,2,"=""210.324""","=""""","=""210.3235""","=""""","=""""","=""8.2e+07""",C,"=""25191.51""","=""72722.23""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.5d""","=""2D""","=""3/2""",2,4,,"=""T8043""","=""L7323""",
Ca,3,"=""210.7136""","=""0.0008""","=""210.7129""","=""0.0003""","=""700""","=""4.5e+07""",C,"=""281139.55""","=""328582.45""","=""3s2.3p5.4p""","=""1P""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",3,3,,"=""u33""","=""L262""",
Ca,2,"=""211.276""","=""""","=""211.2757""","=""""","=""""","=""9.7e+07""",C,"=""25414.40""","=""72730.93""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.5d""","=""2D""","=""5/2""",4,6,,"=""T8043""","=""L7323""",
Ca,2,"=""211.315""","=""""","=""211.3146""","=""""","=""""","=""1.6e+07""",C,"=""25414.40""","=""72722.23""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.5d""","=""2D""","=""3/2""",4,4,,"=""T8043""","=""L7323""",
Ca,3,"=""211.4413""","=""0.0008""","=""211.4407""","=""0.0003""","=""3400""","=""7.9e+08""",B,"=""277380.86""","=""324660.47""","=""3s2.3p5.4p""","=""3D""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""",5,7,,"=""u33""","=""L262""",
Ca,3,"=""212.3029""","=""0.0008""","=""212.3019""","=""0.0005""","=""5000""","=""9.2e+08""",B,"=""277022.40""","=""324110.24""","=""3s2.3p5.4p""","=""3D""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""",7,9,,"=""u33""","=""L262""",
Ca,3,"=""212.6812""","=""0.0008""","=""212.6813""","=""0.0004""","=""900""","=""5.7e+07""",C,"=""243930.44""","=""290934.30""","=""3s2.3p5.4s""","=""3P*""","=""1""","=""3s2.3p5.4p""","=""1S""","=""0""",3,1,,"=""T7942""","=""L262""",
Ca,2,"=""212.875""","=""""","=""212.8750""","=""""","=""""","=""2.0e+05""",D,"=""13650.19""","=""60611.28""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.5p""","=""2P*""","=""3/2""",4,4,,"=""u7,LS""","=""L7323""",
Ca,3,"=""212.9191""","=""0.0008""","=""212.9188""","=""0.0003""","=""2600""","=""7.2e+08""",B,"=""281139.55""","=""328090.99""","=""3s2.3p5.4p""","=""1P""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",3,5,,"=""u33""","=""L262""",
Ca,2,"=""213.151""","=""""","=""213.1505""","=""""","=""""","=""1.8e+06""",D,"=""13710.88""","=""60611.28""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.5p""","=""2P*""","=""3/2""",6,4,,"=""u7,LS""","=""L7323""",
Ca,2,"=""213.230""","=""""","=""213.2304""","=""""","=""""","=""2.0e+06""",D,"=""13650.19""","=""60533.02""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.5p""","=""2P*""","=""1/2""",4,2,,"=""u7,LS""","=""L7323""",
Ca,3,"=""213.3953""","=""0.0008""","=""213.39506""","=""0.00023""","=""2500""","=""6.1e+08""",B,"=""278621.01""","=""325467.67""","=""3s2.3p5.4p""","=""3D""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""",3,5,,"=""u33""","=""L262""",
Ca,3,"=""214.0359""","=""0.0008""","=""214.0354""","=""0.0003""","=""1900""","=""8.4e+08""",B,"=""281882.24""","=""328588.76""","=""3s2.3p5.4p""","=""3P""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",5,7,,"=""u33""","=""L262""",
Ca,3,"=""214.3747""","=""0.0008""","=""214.3745""","=""0.0003""","=""600""","=""1.9e+07""",C,"=""277022.40""","=""323655.06""","=""3s2.3p5.4p""","=""3D""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",7,5,,"=""u33""","=""L262""",
Ca,1,"=""215.080""","=""""","=""215.07949""","=""""","=""2""","=""6.1e+06""",C,"=""0.000""","=""46479.813""","=""3p6.4s2""","=""1S""","=""0""","=""3p6.4s.8p""","=""1P*""","=""1""",1,3,,"=""T793n""","=""L6097""",
Ca,3,"=""215.2435""","=""0.0008""","=""215.2430""","=""0.0003""","=""4000""","=""7.2e+08""",B,"=""279741.80""","=""326186.32""","=""3s2.3p5.4p""","=""1D""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""3""",5,7,,"=""u33""","=""L262""",
Ca,3,"=""216.3416""","=""0.0008""","=""216.34130""","=""0.00023""","=""800""","=""9.8e+07""",B,"=""281882.24""","=""328090.99""","=""3s2.3p5.4p""","=""3P""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",5,5,,"=""u33""","=""L262""",
