element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,1,"=""637.359016""","=""637.35901+""","=""30""","=""9.2e+05""",D+,"=""92307.3786""","=""107992.7867""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",5,5,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""641.567923""","=""641.56793+""","=""20""","=""6.1e+05""",D+,"=""92294.4012""","=""107876.9080""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",7,7,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""642.102700""","=""642.10269+""","=""100""","=""3.79e+06""",C+,"=""92307.3786""","=""107876.9080""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",5,7,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""644.879938""","=""644.87995+""","=""10""","=""3.08e+05""",D+,"=""92294.4012""","=""107796.8790""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",7,5,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""645.419""","=""645.42025+""","=""1""","=""7.7e+04""",D,"=""92307.3786""","=""107796.8790""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",5,5,,"=""T3774n,T3599,u41""","=""L7408""",
Kr,1,"=""645.628888""","=""645.62888+""","=""200""","=""6.65e+06""",B+,"=""92294.4012""","=""107778.8962""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""",7,9,,"=""T3599,u41""","=""L11281""",
Kr,1,"=""648.806917""","=""648.80693+""","=""15""","=""8.9e+05""",D+,"=""92964.3943""","=""108373.0423""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",3,3,,"=""T3600n,u41""","=""L11281""",
Kr,1,"=""650.490424""","=""650.49041+""","=""10""","=""3.3e+05""",D,"=""92307.3786""","=""107676.1489""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",5,3,,"=""T3774n,T3384,T7227,u41""","=""L11281""",
Kr,1,"=""650.83693""","=""650.83692+""","=""3""","=""1.05e+05""",D+,"=""92964.3943""","=""108324.9822""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",3,5,,"=""T3600n,u41""","=""L11281""",
Kr,1,"=""653.65517""","=""653.65517+""","=""8""","=""9.6e+05""",D,"=""92964.3943""","=""108258.7553""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",3,3,,"=""T3774n,T7227,u41""","=""L11281""",
Kr,1,"=""655.569463""","=""655.56945+""","=""6""","=""3.2e+05""",D,"=""93123.3409""","=""108373.0423""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",5,3,,"=""T3600n,u41""","=""L11281""",
Kr,1,"=""657.642040""","=""657.64205+""","=""20""","=""7.9e+05""",C,"=""93123.3409""","=""108324.9822""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",5,5,,"=""T3600n,u41""","=""L11281""",
Kr,1,"=""665.223475""","=""665.22347+""","=""40""","=""2.18e+06""",C+,"=""92964.3943""","=""107992.7867""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",3,5,,"=""T3774n,T3599,u41""","=""L11281""",
