element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,1,"=""457.09719""","=""0.00015""","=""457.09706""","=""0.00005""","=""8""","=""4.3e+05""",E,"=""25177.3539""","=""47048.4161""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4G).4p""","=""y 3G*""","=""3""",9,7,,"=""T3963""","=""L14866""",
Cr,1,"=""457.10908""","=""0.00008""","=""457.109103""","=""0.000019""","=""16""","=""9.5e+05""",D,"=""24303.9025""","=""46174.3884""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4P).4p""","=""y 3D*""","=""3""",7,7,,"=""T3963""","=""L14866""",
Cr,1,"=""457.16715""","=""0.00005""","=""457.16716""","=""0.00005""","=""480""","=""3.6e+06""",D,"=""20519.5515""","=""42387.260""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""7""",13,15,,"=""T3963""","=""L14866""",
Cr,1,"=""457.51071""","=""0.00006""","=""457.51071""","=""0.00004""","=""56""","=""6.8e+06""",D,"=""27176.1072""","=""49027.3953""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""2""",3,5,,"=""T4288""","=""L14866""",
Cr,1,"=""457.83166""","=""0.00008""","=""457.83167""","=""0.00006""","=""21""","=""4.0e+06""",D,"=""31049.2155""","=""52885.185""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d4.(1G1).4s.4p.(3P*)""","=""x 3H*""","=""5""",13,11,,"=""T3963""","=""L14866""",
Cr,1,"=""458.00477""","=""0.00005""","=""458.004789""","=""0.000019""","=""560""","=""2.4e+06""",B,"=""7593.1484""","=""29420.8645""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",5,3,,"=""T4913""","=""L14866""",
Cr,1,"=""458.240""","=""0.003""","=""458.2414""","=""0.0006""","=""6""","=""3.2e+06""",D,"=""33113.212""","=""54929.66""","=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""3d5.(4G).5p""","=""v 3H*""","=""5""",9,11,,"=""T3963""","=""L808""",
Cr,1,"=""458.38980""","=""0.00011""","=""458.389860""","=""0.000021""","=""13""","=""1.6e+06""",D,"=""24299.8419""","=""46109.2219""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",5,5,,"=""T3963""","=""L14866""",
Cr,1,"=""458.40855""","=""0.00006""","=""458.40851""","=""0.00004""","=""46""","=""2.1e+06""",D,"=""25177.3539""","=""46985.8465""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""5""",9,11,,"=""T3963""","=""L14866""",
Cr,1,"=""458.47519""","=""0.00015""","=""458.475223""","=""0.000021""","=""8""","=""7.5e+05""",D,"=""24303.9025""","=""46109.2219""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",7,5,,"=""T3963""","=""L14866""",
Cr,1,"=""458.49342""","=""0.00006""","=""458.49343""","=""0.00004""","=""25""","=""3.9e+06""",D,"=""27222.9417""","=""49027.3953""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""2""",5,5,,"=""T3963""","=""L14866""",
Cr,1,"=""458.50747""","=""0.00006""","=""458.50747""","=""0.00003""","=""25""","=""3.3e+06""",D,"=""27816.7783""","=""49620.5640""","=""3d4.4s2""","=""b 3G""","=""5""","=""3d5.(4D).4p""","=""x 3F*""","=""4""",11,9,,"=""T4288""","=""L14866""",
Cr,1,"=""458.61354""","=""0.00006""","=""458.61354""","=""0.00003""","=""47""","=""2.7e+06""",D,"=""25106.2953""","=""46905.0382""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""4""",7,9,,"=""T3963""","=""L14866""",
Cr,2,"=""""","=""""","=""458.72641""","=""0.00006""","=""""","=""8.9e+05""",D,"=""52320.978""","=""74114.3577""","=""3d5""","=""d 2G""","=""9/2""","=""3d4.(a 1G).4p""","=""x 2F*""","=""7/2""",10,8,,"=""T3963n""","=""""",
