element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zr,3,"=""194.6908""","=""194.6909""","=""10000""","=""1.97e+08""",,"=""53648.88""","=""105012.34""","=""4d.5p""","=""1D*""","=""2""","=""4d.(2D<3/2>).6s""","=""2[3/2]""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""195.1824""","=""195.18281""","=""5""","=""1.73e+07""",,"=""53648.88""","=""104882.90""","=""4d.5p""","=""1D*""","=""2""","=""4d.5d""","=""3D""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""195.3893""","=""195.38928""","=""100""","=""3.05e+07""",,"=""56077.32""","=""107257.20""","=""4d.5p""","=""3F*""","=""3""","=""4d.5d""","=""3F""","=""2""",7,5,,"=""T6869""","=""L9267""",
Zr,3,"=""196.1239""","=""196.12416""","=""10000""","=""2.44e+08""",,"=""53648.88""","=""104636.99""","=""4d.5p""","=""1D*""","=""2""","=""4d.5d""","=""3G""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""196.1923""","=""196.1922""","=""400000""","=""1.02e+09""",,"=""57348.86""","=""108319.29""","=""4d.5p""","=""3D*""","=""3""","=""4d.5d""","=""3F""","=""4""",7,9,,"=""T6869""","=""L9267""",
Zr,3,"=""196.2829""","=""196.28295""","=""8000""","=""1.65e+08""",,"=""55557.60""","=""106504.46""","=""4d.5p""","=""3F*""","=""2""","=""4d.(2D<5/2>).6s""","=""2[5/2]""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""196.5077""","=""196.50770""","=""50""","=""4.83e+07""",,"=""55615.87""","=""106504.46""","=""4d.5p""","=""3D*""","=""1""","=""4d.(2D<5/2>).6s""","=""2[5/2]""","=""2""",3,5,,"=""T6869""","=""L9267""",
Zr,3,"=""196.6198""","=""196.62010""","=""400000""","=""1.22e+08""",,"=""8839.97""","=""59699.47""","=""4d2""","=""3P""","=""2""","=""4d.5p""","=""3P*""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""196.7750""","=""196.77513""","=""600""","=""8.54e+07""",,"=""56437.77""","=""107257.20""","=""4d.5p""","=""3D*""","=""2""","=""4d.5d""","=""3F""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""197.2604""","=""197.26052""","=""50""","=""6.66e+03""",,"=""5743.39""","=""56437.77""","=""4d2""","=""1D""","=""2""","=""4d.5p""","=""3D*""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""197.4913""","=""197.4912""","=""200000""","=""4.22e+08""",,"=""57684.12""","=""108319.29""","=""4d.5p""","=""3F*""","=""4""","=""4d.5d""","=""3F""","=""4""",9,9,,"=""T6869""","=""L9267""",
Zr,3,"=""198.1174""","=""198.11733""","=""80""","=""3.64e+07""",,"=""57348.86""","=""107824.00""","=""4d.5p""","=""3D*""","=""3""","=""4d.5d""","=""3F""","=""3""",7,7,,"=""T6869""","=""L9267""",
Zr,3,"=""198.1685""","=""198.16884""","=""120""","=""3.78e+07""",,"=""53648.88""","=""104110.90""","=""4d.5p""","=""1D*""","=""2""","=""4d.5d""","=""3D""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""198.2574""","=""198.25744""","=""50""","=""5.74e+07""",,"=""59699.47""","=""110138.94""","=""4d.5p""","=""3P*""","=""1""","=""4d.5d""","=""3P""","=""2""",3,5,,"=""T6869""","=""L9267""",
Zr,3,"=""198.3057""","=""198.30591""","=""4000""","=""8.43e+07""",,"=""56077.32""","=""106504.46""","=""4d.5p""","=""3F*""","=""3""","=""4d.(2D<5/2>).6s""","=""2[5/2]""","=""2""",7,5,,"=""T6869""","=""L9267""",
Zr,3,"=""198.6731""","=""198.67314""","=""100""","=""7.42e+05""",,"=""5743.39""","=""56077.32""","=""4d2""","=""1D""","=""2""","=""4d.5p""","=""3F*""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""198.9786""","=""198.9788""","=""400000""","=""1.12e+09""",,"=""48506.59""","=""98763.19""","=""5s2""","=""1S""","=""0""","=""5s.5p""","=""1P*""","=""1""",1,3,,"=""T6869""","=""L9267""",
Zr,3,"=""199.0879""","=""199.08806""","=""5000""","=""8.61e+07""",,"=""56077.32""","=""106306.35""","=""4d.5p""","=""3F*""","=""3""","=""4d.(2D<5/2>).6s""","=""2[5/2]""","=""3""",7,7,,"=""T6869""","=""L9267""",
