element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mg,3,"=""""","=""200.486""","=""""","=""2.27e-03""",B+,"=""425640.3""","=""475502.9""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""1""",5,3,M2,"=""c46""","=""""",
Mg,3,"=""200.4860""","=""200.4862""","=""6""","=""3.33e+07""",B+,"=""425640.3""","=""475502.9""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""1""",5,3,,"=""c46""","=""L1434""",
Mg,1,"=""202.5824""","=""202.58242""","=""9g""","=""6.12e+07""",B+,"=""0.000""","=""49346.729""","=""2p6.3s2""","=""1S""","=""0""","=""3s.4p""","=""1P*""","=""1""",1,3,,"=""c45""","=""L6095""",
Mg,3,"=""""","=""203.955""","=""""","=""2.82e-05""",D+,"=""425640.3""","=""474655.0""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""2""",5,5,M2,"=""c46""","=""""",
Mg,3,"=""203.9553""","=""203.9549""","=""15""","=""1.54e+08""",A,"=""425640.3""","=""474655.0""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""2""",5,5,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""205.548""","=""""","=""8.18e-04""",B,"=""426868.1""","=""475502.9""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""1""",3,3,M2,"=""c46""","=""""",
Mg,3,"=""205.5491""","=""205.5483""","=""15""","=""2.35e+08""",A,"=""426868.1""","=""475502.9""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""1""",3,3,,"=""c46""","=""L1434""",
Mg,3,"=""206.4902""","=""206.4905""","=""25""","=""4.21e+08""",A,"=""425640.3""","=""474053.2""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""3""",5,7,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""206.491""","=""""","=""4.69e-03""",A,"=""425640.3""","=""474053.2""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""3""",5,7,M2,"=""c46""","=""""",
Mg,1,"=""""","=""208.45352""","=""""","=""7.24e-12""",E,"=""0.000""","=""47957.058""","=""2p6.3s2""","=""1S""","=""0""","=""3s.3d""","=""3D""","=""1""",1,3,M1,"=""c43""","=""""",
Mg,1,"=""""","=""208.45366""","=""""","=""1.06e-03""",C,"=""0.000""","=""47957.027""","=""2p6.3s2""","=""1S""","=""0""","=""3s.3d""","=""3D""","=""2""",1,5,E2,"=""c43""","=""""",
