element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Co,3,"=""182.54609""","=""0.00006""","=""182.5459""","=""0.0017""","=""5300""","=""5.9e+08""",C,"=""73216.056""","=""127996.8""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""1/2""",2,2,,"=""u37""","=""L19543c139""",
Co,3,"=""182.54609""","=""0.00006""","=""182.54704""","=""0.00003""","=""m""","=""2.5e+07""",D+,"=""72271.872""","=""127052.274""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""182.594235""","=""0.000021""","=""182.594234""","=""0.000020""","=""14000""","=""4.6e+08""",C+,"=""77122.520""","=""131888.762""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""",10,10,,"=""u37""","=""L19543c139""",
Co,2,"=""182.611660""","=""0.000015""","=""182.611649""","=""0.000013""","=""3900""","=""2.4e+07""",D,"=""40695.028""","=""95456.047""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4F).5p""","=""5F*""","=""5""",9,11,,"=""T6999""","=""L9429c118""",
Co,3,"=""182.70852""","=""0.00008""","=""182.70808""","=""0.00005""","=""7800""","=""2.9e+08""",C+,"=""73287.242""","=""128019.360""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""",10,8,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""182.7315""","=""0.0010""","=""182.73450""","=""0.00013""","=""230p""","=""9.e+06""",D+,"=""89517.135""","=""144241.34""","=""3d6.(3D).4s""","=""c 2D""","=""5/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",6,6,,"=""u37""","=""L6156c164,c153""",
Co,2,"=""182.78340""","=""0.00004""","=""182.783244""","=""0.000013""","=""270""","=""4.0e+06""",D,"=""51512.268""","=""106221.878""","=""3d7.(4F).4p""","=""z 3D*""","=""3""","=""3d7.(4P).4d""","=""3F""","=""4""",7,9,,"=""T6999""","=""L9429c118""",
Co,2,"=""182.82939""","=""0.00024""","=""182.829438""","=""0.000010""","=""750""","=""9.e+05""",E,"=""11321.860""","=""66017.647""","=""3d7.(4F).4s""","=""b 3F""","=""2""","=""3d7.(2G).4p""","=""z 1F*""","=""3""",5,7,,"=""T6999""","=""L9429c118""",
Co,3,"=""""","=""""","=""182.8353""","=""0.0005""","=""""","=""3.9e+00""",C,"=""37022.42""","=""91716.45""","=""3d7""","=""a 2F""","=""5/2""","=""3d6.(1D2).4s""","=""d 2D""","=""5/2""",6,6,E2,"=""u37""","=""""",
Co,3,"=""""","=""""","=""182.8437""","=""0.0005""","=""""","=""9.6e+01""",C,"=""22721.42""","=""77412.954""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3H).4s""","=""b 2H""","=""11/2""",12,12,E2,"=""u37""","=""""",
